feast,feast_code
"Abdonis, Sennis",14073000
Acacii et sociorum,14062220
Ad aquam benedictio,16010000
Ad aspersionem aquae benedictae,16023000
Ad aspersionem aquae benedictae TP,16023080
Ad Benedicite,16001000
Ad Benedictus,16002000
Ad Completorium,16006000
Ad lavandum altaria,16024000
Ad Magnificat,16003000
Ad Mandatum,07065010
Ad Missam,16012000
Ad Nunc Dimittis,16005000
Ad Nunc Dimittis TP,16005080
Ad Processionem,16009000
Ad Suffragium,15000000
Ad visitandum infirmum,16013000
Adalberti,14042310
"Adalberti,8",14042318
Adalhardi Corbeiensis,14010220
Adalheidae,14121600
Additamenta,17001000
Adriani,14091000
Adventus Ewaldorum,14102910
Adventus Walburgae,14080410
Aegidii,14090100
"Aemigdii, Episc. et Martyr",14080530
Aemiliani Cucullati,14111220
Afrae,14080500
Agapiti,14081800
"Agapiti,8",14081808
Agathae,14020500
"Agathae,8",14020508
Agnetis,14012100
Agnetis Assisiensis,14111610
Agnetis secundo,
"Agnetis,8",14012108
Agritii,14011300
Aichardi,14091520
"Albani, Mart.",14062100
Alberti,14080720
Alberti Magni,14111550
"Albini, Epi.",14030100
Aldegundis,14013000
Alexandri et sociorum,14050310
Alexis,14071700
Allatio capillorum BMV,
Aloisii Gonzagae,14062120
Alphonsi Mariae de Ligorio,14080210
Amandi,14020620
Amati,14101900
Amatoris,14050130
Ambrosii,14040400
Ambrosii TP,14040480
Anastasii,14012210
Andreae,14113000
Andreae Avellini,14111010
Andreae Corsini,14020400
"Andreae,8",14113008
Angelae Mericiae,14053120
Angeli Custodis,14100220
Aniani,14111710
Annae,14072610
Annuntiatio Mariae,14032500
"Annuntiatio Mariae, Dom. infra oct.",14032501
"Annuntiatio Mariae,8",14032508
Annuntiatio TP,14032580
Anselmi,14042100
Ansgarii,14020310
Antiphonae Majores,01048010
Antonii,14011700
Antonii Mariae Claret,14102330
Antonii Mariae Zaccaria,14070500
Antonii Patavini,14061300
Antonini,14090200
Antonini Episcopi,14051010
Apollinaris,14072320
Apolloniae,14020900
Appar. Michaelis,14050800
"Aquilae, Priscae",14011810
Arbogasti Argentoratensis,
Aredii Nivernensis,14081660
Arnulfi,14081600
Arnulfi Metensis,14071810
Ascensio Domini,08065000
"Ascensio Domini,8",08065008
"Ascensionis Domini, in vigilia",08064001
Assumptio Mariae,14081500
"Assumptio Mariae,8",14081508
Athanasii,14050200
Attalae,
Auberti,14121310
Audoeni,14082410
Audomari,14090920
Augustini,14082800
Augustini Cant.,14052610
"Augustini, conv.",14050510
"Augustini,8",14082808
Aureae,14100410
Aureae Ostiensis,14082430
Aureliae Argentoratensis,
Austremonii,14110160
Aviti,14061720
Baboleni,14062610
Babylae,14012420
Babylae Pampilonensis,14103020
Balbinae,14082850
Balthildis,14013010
Barbarae,14120400
Barbati,14021900
Barnabae,14061100
Bartholomaei,14082400
Basilidis et sociorum,14061200
Basilii,14010200
"Basilii, Doct.",14061400
Bavonis,14100140
Beata Mariae Virginis Omnium Gratiarum Mediatricis,
Beatae Mariae Virginis de Mercede,
Bedae,14052600
Benedictae,14100810
Benedicti,14032100
Benedicti Anianensis,14021100
Benedicti Josephi Labre Conf.,
Benedicti TP,14032180
"Benedicti, Fer.3",14032103
"Benedicti,8",14032108
Benedictio crucis,16048000
Benigni,14110140
Bernardi,14082010
"Bernardi,8",14082018
Bernardini Senensis,14052010
"Bernardini Senensis, transl.",14051710
Bernwardi Episcopi Hildesheimensis,14112020
Bibianae Virginis et Martyris,
Birgittae,14100840
Birgittae Viduae,
Blasii,14020300
"Blasii,8",14020308
BMV a Rosario,14100730
BMV ab Exilio,15031050
BMV de Bono Consilio,14042600
BMV de Guadalupe,14121210
BMV de Monte Carmelo,14071610
BMV de Perpetuo Succursu,14062730
