feast,feast_code
BMV Immaculatae a Sacro Numismate,14112700
Bonaventurae,14071420
Bonifacii,14060500
Bonifatii Martyris,
Bononii,14083010
Botulphi,14061710
Botvidi,14072820
Briccii,14111300
"Briccii,8",14111308
Brigidae,14020100
Brunonis Abbatis,14100610
Burchardi,14101410
Caeciliae,14112200
"Caeciliae,8",14112208
Caesarii Arelatensis,14082700
"Caesarii, Juliani",14110130
Cajetani Confessoris,
Callisti,14101400
Camilli de Lellis,14071820
Candidi,14120110
Canici,14101140
Cantiorum,14053100
"Canuti Regis, Martyris",
"Caprasii, Abb.",14060110
"Caprasii, Mart.",14102000
Carauni,14052810
Caroli Episcopi Confessoris,
Caroli Magni,14012810
Casimiri Confessoris,
Castuli,14032610
Catharinae,14112500
Catharinae Bononiensis,14030920
Catharinae Senensis,14042920
Cathedra Petri,14022200
Celsi Treverensis,14010400
"Celsi Treverensis, invent.",14022320
"Celsi, Juliani",14010900
Chlodoaldi,14090720
Chlotildis Regina,14060310
Christinae,14072400
Christophori,14072510
"Chrysanthi, Dariae",14112910
Chrysogoni,14112400
Circumcisio Domini,02010110
Clarae,14081200
"Clarae, inventio",14092310
"Claudii commentariensis, Symphoriani, Nicostrati et sociorum",14070740
Clementis,14112300
Clementis Metensis,14112340
"Clementis,8",14112308
Cleophae,14092510
Cleti et Marcellini Pont. Mart.,
Colomanni,14101320
Columbae,14123110
Columbani,14112330
Comm. Aniceti I Papae et Martyris,
Comm. Apostolorum,12001000
Comm. Apostolorum et Evangelistarum,12019000
Comm. Apostolorum post Septuagesima,12601000
Comm. Apostolorum sive Martyrum TP,12801100
Comm. Apostolorum TP,12801000
Comm. Apostolorum TQ,12701000
"Comm. Apostolorum,8",12001008
Comm. Conjungium,12012000
Comm. Conjungium Martyrum,12012200
Comm. Conjungium non Martyrum,12012100
Comm. duorum Apostolorum,12001200
Comm. Evangelistarum,12011000
Comm. Evangelistarum TP,12811000
Comm. plurimorum Apostolorum in vigilia,12001010
Comm. plurimorum Confessorum,12005000
Comm. plurimorum Confessorum et Doctorum,12005300
Comm. plurimorum Confessorum non Pontificum,12005200
Comm. plurimorum Confessorum non Pontificum TP,12805200
Comm. plurimorum Confessorum Pontificum,12005100
Comm. plurimorum Confessorum TP,12805000
Comm. plurimorum Martyrum,12003000
Comm. plurimorum Martyrum in vigilia,12003010
Comm. plurimorum Martyrum non Virginum,12003100
Comm. plurimorum Martyrum TP,12803000
"Comm. plurimorum Martyrum,8",12003008
Comm. plurimorum Virginum,12006000
Comm. plurimorum Virginum in vigilia,12006010
Comm. plurimorum Virginum Martyrum,12006100
Comm. plurimorum Virginum non Martyrum,12006200
Comm. plurimorum Virginum TP,12806000
Comm. Pontificis,12018000
Comm. Regum,12009000
Comm. unius Abbatis,12010000
Comm. unius Apostoli,12001100
Comm. unius Apostoli in vigilia,12001110
Comm. unius Confessoris,12004000
Comm. unius Confessoris Abbatis,12004200
Comm. unius Confessoris et Doctoris,12004500
Comm. unius Confessoris et Doctoris non Pontificis,12004800
Comm. unius Confessoris et Episcopi,12004300
"Comm. unius Confessoris et Episcopi,8",12004308
Comm. unius Confessoris non Episcopus,12004400
Comm. unius Confessoris non Pontificis,12004700
Comm. unius Confessoris non Pontificis TP,12804700
Comm. unius Confessoris non Sacerdotis,12004600
Comm. unius Confessoris Pontificis,12004100
Comm. unius Confessoris Pontificis TP,12804100
Comm. unius Confessoris TP,12804000
Comm. unius electae,12022000
Comm. unius Martyris,12002000
Comm. unius Martyris in vigilia,12002010
Comm. unius Martyris non Pontificis,12002200
Comm. unius Martyris non Pontificis TP,12802200
Comm. unius Martyris non Virginis,12002300
Comm. unius Martyris Pontificis,12002100
Comm. unius Martyris TP,12802000
Comm. unius Virginis,12007100
Comm. unius Virginis Martyris,12007000
Comm. unius Virginis non Martyris,12007200
Comm. unius Virginis TP,12807100
Commem. Dom. Res.,09991000
Commem. Francisci,14041600
Commendat. Animae,13002000
Commune plurium non Virginum. Pro non Martyribus,
Commune plurium Virginum. Pro Martyribus,
Compassio Mariae TP,08046010
Conceptio Jo. Bapt.,14092430
Conceptio Mariae,14120800
Conductus,16008000
Conradi,14112620
Consecratio virginis,16053000
Constantii,14012920
"Constantini, Peregr.",14061540
Conversio Afrae,14102610
Conversio Pauli,14012500
Corbiniani,14090820
"Cornelii, Cypriani",14091600
Coronae,14051420
Corporis Christi,09015000
"Corporis Christi,8",09015008
"Cosmae, Damiani",14092700
"Crispini,Crispiniani",14102500
Cucuphatis,14072530
Cuniberti,14111210
Cuthberti,14032000
Cuthburgae,14083120
"Cyri, Joannis",14013100
Cyriaci et sociorum,14080800
Cyrici,14061600
"Cyrici,8",14061608
Cyrilli Alexandrini,14012820
"Cyrilli Episcopi Hierosolymitani, Confessoris et Ecclesiae Doctoris",
"Cyrilli et Methodii Pont., Conf.",
Damasi,14121100
David,14030110
De allatione reliquiarum in ecclesia Pragensis,14010210
De Angelis,12013000
De Angelis TP,12813000
De BMV,15008000
De BMV Adv.,15008010
De BMV Nat.,15008030
De BMV post Ascen.,15008110
De BMV post Epiph.,15008050
De BMV post Pent.,15008090
De BMV post Purif.,15008100
De BMV TP,15008080
De caritate,16025000
De consecratione caemeteriorum,16046000
De corona domini,
De Corona Spinea,14081120
De Esdras,10700000
De Esther,10600000
De festis duplicibus,16016000
De festis duplicibus majoribus,16016002
De festis duplicibus majoribus TP,16016082
De festis duplicibus minoribus,16016001
De festis duplicibus minoribus TP,16016081
De festis semiduplicibus,16015000
De festis semiduplicibus TP,16015080
De festis simplicibus,16039000
De festis sollemnibus,16051000
De Imagine Domini,14110900
De Job,10300000
De Judith,10500000
De Machabaeis,10800000
De Patriarchis,12020000
De Patronis,12014000
De pluribus Sanctis TP,12815100
De Prophetis,10900000
De Psalmis,
De quinque vulneribus Christi,09026000
De Regum,10100000
De Sancta Cruce,15011000
De Sancta Lancea,08026010
De Sanctis,12015000
De Sanctis Ordinis Benedictini,12016000
De Sanctis TP,12815000
De Sapientia,10200000
De secunda allatione reliquiarum in ecclesia Pragensis,14010820
De Spiritu Sancto,15002000
De Susceptione Regum,
De Tobia,10400000
De Trinitate,09011000
"De Trinitate,8",09011008
De uno defuncto,13009000
De victoriae christianorum apud Salado,14103010
De Viduarum,12021000
Decem Millium Martyrum,14062240
Decoll. Antonini,14070410
Decoll. Jo. Bapt.,14082900
Ded.Mont.S.Michaelis,14101630
Dedic. Bas. S. Petri,14111820
"Dedic. S.Salv., Mar.",14101340
Demetrii,14100850
Depositio Emerici,14090210
Depositio Ludgeri,14042420
Descensio Mariae,
Desiderii Lingon,14052300
Didaci Confessoris,
Die 2 p. Assump.,14081620
Die 2 p. Epiphaniam,05010700
Die 3 a. Nat. Domini,02122300
Die 3 p. Assump.,14081720
Die 3 p. Epiphaniam,05010800
Die 4 p. Assump.,14081820
Die 4 p. Epiphaniam,05010900
Die 5 a. Nat. Domini,02122100
Die 5 p. Assump.,14081910
Die 5 p. Epiphaniam,05011000
Die 5 p. Nat. Domini,02122900
Die 6 p. Assump.,14082020
Die 6 p. Epiphaniam,05011100
Die 6 p. Nat. Domini,02123000
Die 7 p. Assump.,14082100
Die 7 p. Epiphaniam,05011200
Die 7 p. Nat. Domini,02123100
Dionysii,14100900
"Dionysii,8",14100908
Disibodi,14090840
Divisio Apostolorum,14071510
Dom. 1 Adventus,01011000
"Dom. 1 p. Epiph.,8",05011018
Dom. 1 p. Epiphaniam,05011010
Dom. 1 p. Oct. Corporis Christi,09031010
Dom. 1 p. Pent.,09011010
Dom. 1 Quadragesimae,07011000
Dom. 10 p. Pent.,09101000
"Dom. 10 p. Pent.,8",09101008
Dom. 11 p. Pent.,09111000
"Dom. 11 p. Pent.,8",09111008
Dom. 12 p. Pent.,09121000
"Dom. 12 p. Pent.,8",09121008
Dom. 13 p. Pent.,09131000
"Dom. 13 p. Pent.,8",09131008
Dom. 14 p. Pent.,09141000
"Dom. 14 p. Pent.,8",09141008
Dom. 15 p. Pent.,09151000
"Dom. 15 p. Pent.,8",09151008
Dom. 16 p. Pent.,09161000
"Dom. 16 p. Pent.,8",09161008
Dom. 17 p. Pent.,09171000
"Dom. 17 p. Pent.,8",09171008
Dom. 18 p. Pent.,09181000
"Dom. 18 p. Pent.,8",09181008
Dom. 19 p. Pent.,09191000
"Dom. 19 p. Pent.,8",09191008
Dom. 2 Adventus,01021000
Dom. 2 p. Epiph.,05021000
"Dom. 2 p. Epiph.,8",05021008
Dom. 2 p. Pascha,08031000
"Dom. 2 p. Pascha,8",08031008
Dom. 2 p. Pent.,09021000
"Dom. 2 p. Pent.,8",09021008
Dom. 2 Quadragesimae,07021000
Dom. 20 p. Pent.,09201000
"Dom. 20 p. Pent.,8",09201008
Dom. 21 p. Pent.,09211000
"Dom. 21 p. Pent.,8",09211008
Dom. 22 p. Pent.,09221000
"Dom. 22 p. Pent.,8",09221008
Dom. 23 p. Pent.,09231000
"Dom. 23 p. Pent.,8",09231008
Dom. 24 p. Pent.,09241000
"Dom. 24 p. Pent.,8",09241008
Dom. 25 p. Pent.,09251000
Dom. 26 p. Pent.,09261000
Dom. 27 p. Pent.,09271000
Dom. 28 p. Pent.,09281000
Dom. 3 Adventus,01031000
Dom. 3 p. Epiph.,05031000
Dom. 3 p. Pascha,08041000
"Dom. 3 p. Pascha,8",08041008
Dom. 3 p. Pent.,09031000
"Dom. 3 p. Pent.,8",09031008
Dom. 3 Quadragesimae,07031000
Dom. 4 Adventus,01041000
Dom. 4 p. Epiph.,05041000
Dom. 4 p. Pascha,08051000
"Dom. 4 p. Pascha,8",08051008
Dom. 4 p. Pent.,09041000
"Dom. 4 p. Pent.,8",09041008
Dom. 4 Quadragesimae,07041000
Dom. 5 p. Epiph.,05051000
Dom. 5 p. Pascha,08061000
"Dom. 5 p. Pascha,8",08061008
Dom. 5 p. Pent.,09051000
"Dom. 5 p. Pent.,8",09051008
Dom. 6 p. Epiph.,05061000
Dom. 6 p. Pascha,08071010
Dom. 6 p. Pent.,09061000
"Dom. 6 p. Pent.,8",09061008
Dom. 7 p. Pent.,09071000
"Dom. 7 p. Pent.,8",09071008
Dom. 8 p. Pent.,09081000
"Dom. 8 p. Pent.,8",09081008
Dom. 9 p. Pent.,09091000
"Dom. 9 p. Pent.,8",09091008
Dom. Adventus,01001000
Dom. de Passione,07051000
Dom. in Palmis,07061000
Dom. infra Oct. Apostolorum Petri et Pauli,14062901
Dom. infra oct. Edithae,14091641
Dom. mensis Augusti,11080100
Dom. mensis Nov.,11110100
Dom. mensis Octobris,11100100
Dom. mensis Sept.,11090100
Dom. p. Assumptionem,14081501
Dom. p. Cor. Christi,09021010
Dom. p. Epiphaniam,05001000
Dom. p. Gaugerici,14081111
Dom. p. Jacobi,14072501
Dom. p. Jo. Bapt.,14062401
Dom. p. Mariae Mag.,14072201
Dom. p. Martini,14111101
Dom. p. Nat. Dom.,03021000
Dom. p. Nat. Mariae,14090801
Dom. p. Oct. Nat.,03031000
Dom. p. Pent.,09001000
Dom. p. Rel. Ved.,14071501
Dom. p. Tr. Vedasti,14100501
Dom. p. Vedasti,14020601
Dom. Pentecostes,08081000
"Dom. Pentecostes,8",08081008
Dom. per annum,04001000
Dom. post Ascensionem,08071000
Dom. post Dedicatione Ecclesiae,12008001
Dom. Quadragesimae,07001000
Dom. Quinquagesimae,06031000
"Dom. Resurrect.,8",08011008
Dom. Resurrectionis,08011000
Dom. Septuagesimae,06011000
Dom. Sexagesimae,06021000
Dom. ultima ante Adventum,09991010
Dom.1 mensis Augusti,11081100
Dom.1 mensis Nov.,11111100
Dom.1 mensis Oct.,11101100
Dom.1 mensis Sept.,11091100
Dom.2 mensis Augusti,11082100
Dom.2 mensis Sept.,11092100
Dom.3 mensis Sept.,11093100
Dom.4 mensis Sept.,11094100
Dom.p.Om.Sanctorum,14110101
Dominica in estate,10001000
Dominica TP,08001000
Dominici,14080430
Dominici Silensis,14122010
"Dominici,8",14080438
Donati,14080700
Donatiani,14101310
Dorotheae,14020610
Dunstani,14051920
Duodecim Fratrum,14090140
Eadburgae,14061530
Edithae,14091640
"Edithae,8",14091648
Edmundi,14112000
Edmundi Archiepiscopi,14111620
"Edwardi, Conf.",14101330
"Edwardi, Conf., de morte",14010520
"Edwardi, Mart.",14031810
"Edwardi, Mart., transl.",14062010
Egberti,14042400
Egwini,14123000
"Egwini,8",14123008
"Eleutherii Papae, Martyris",
Elev. Elis. Hung.,14050210
"Elev. Elis. Hung.,8",14050218
Elevat. Auberti,14012410
Elevat. Gaugerici,14092400
Elevatio Amandi,14092000
Eliae,14072020
"Eliae,8",14072028
Eligii,14120100
Elisabeth Hung.,14111900
"Elisabeth Hung.,8",14111908
Elisabeth Reginae Portugalliae,14070830
Elisei,14061410
"Elisei,8",14061418
Emerentianae,14012300
Emerici,14110500
Emmerami,14092210
"Ephraem Confessoris, Eccl. Doct.",
Epiphania,05010600
"Epiphania,8",05010608
Erasmi,14060300
Erici,14051800
Eskili,14061220
Ethelwoldi,14080130
Eucharii,14120810
Eucharistici Cordis Jesu. Feria V post Festum Sacratissimi Cordis Jesu,
Eugenii,14111500
Eulaliae Emeritensis,14121010
Euphemiae,14091610
"Eupli, Leucii",14081210
Eusebii Episcopi,14121610
Eusebii Romanae,14081400
Eustachii,14092010
Eustratii et sociorum,14121350
Eutropii,14043010
Eutychii,14052310
Evaristi Papae Martyris,
Evurtii,14090700
"Exalt. Crucis,8",14091408
Exaltatio Crucis,14091400
Exceptio Marcelli,14010540
Exspectationis BMV,14121810
Exspectationis Partus B.M.V.,
"Fabiani, Sebastiani",14012000
"Faustini, Jovitae",14021500
Felicis,14072900
Felicis Nolani,14011410
Felicis Valesius,14112010
"Felicis, Adaucti",14083000
"Felicis, Pont.",14053000
"Felicis, Regulae",14091110
"Felicissimi, Agapiti",14080620
Felicitatis,14112310
Fer 2. Quinquagesimae,06032000
Fer. 2 Adventus,01002000
Fer. 2 Cor. Christi,09022000
Fer. 2 de Passione,07052000
Fer. 2 Hebd. 1 Adv.,01012000
Fer. 2 Hebd. 1 Quad.,07012000
Fer. 2 Hebd. 2 Adv.,01022000
Fer. 2 Hebd. 2 p.Ep.,05022000
Fer. 2 Hebd. 2 Quad.,07022000
Fer. 2 Hebd. 3 Adv.,01032000
Fer. 2 Hebd. 3 p.Ep.,05032000
Fer. 2 Hebd. 3 Pasc.,08032000
Fer. 2 Hebd. 3 Quad.,07032000
Fer. 2 Hebd. 4 Adv.,01042000
Fer. 2 Hebd. 4 p.Ep.,05042000
Fer. 2 Hebd. 4 Pasc.,08042000
Fer. 2 Hebd. 4 Quad.,07042000
Fer. 2 Hebd. 5 p.Ep.,05052000
Fer. 2 Hebd. 5 Pasc.,08052000
Fer. 2 in estate,10002000
Fer. 2 in Letaniis,08062000
Fer. 2 Maj. Hebd.,07062000
Fer. 2 p. Epiphaniam,05012000
Fer. 2 p. Nat. Dom.,03022000
Fer. 2 p. Oct.Pasch.,08022000
Fer. 2 p. Pascha,08012000
Fer. 2 Pent.,08082000
Fer. 2 per annum,04002000
Fer. 2 post Ascensionem,08072000
Fer. 2 Quadragesimae,07002000
Fer. 2 Septuagesimae,06012000
Fer. 2 Sexagesimae,06022000
Fer. 2 Trinitate,09012000
Fer. 3 Adventus,01003000
Fer. 3 Cor. Christi,09023000
Fer. 3 de Passione,07053000
Fer. 3 Hebd. 1 Adv.,01013000
Fer. 3 Hebd. 1 Quad.,07013000
Fer. 3 Hebd. 2 Adv.,01023000
Fer. 3 Hebd. 2 p.Ep.,05023000
Fer. 3 Hebd. 2 Quad.,07023000
Fer. 3 Hebd. 3 Adv.,01033000
Fer. 3 Hebd. 3 p.Ep.,05033000
Fer. 3 Hebd. 3 Pasc.,08033000
Fer. 3 Hebd. 3 Quad.,07033000
Fer. 3 Hebd. 4 Adv.,01043000
Fer. 3 Hebd. 4 p.Ep.,05043000
Fer. 3 Hebd. 4 Pasc.,08043000
Fer. 3 Hebd. 4 Quad.,07043000
Fer. 3 Hebd. 5 p.Ep.,05053000
Fer. 3 Hebd. 5 Pasc.,08053000
Fer. 3 in estate,10003000
Fer. 3 in Letaniis,08063000
Fer. 3 Maj. Hebd.,07063000
Fer. 3 p. Epiphaniam,05013000
Fer. 3 p. Nat. Dom.,03023000
Fer. 3 p. Oct.Pasch.,08023000
Fer. 3 p. Pascha,08013000
Fer. 3 Pent.,08083000
Fer. 3 per annum,04003000
Fer. 3 post Ascensionem,08073000
Fer. 3 Quadragesimae,07003000
Fer. 3 Quinquagesimae,06033000
Fer. 3 Septuagesimae,06013000
Fer. 3 Sexagesimae,06023000
Fer. 3 Trinitate,09013000
Fer. 4 Adventus,01004000
Fer. 4 Cinerum,06034000
Fer. 4 Cor. Christi,09024000
Fer. 4 de Passione,07054000
Fer. 4 Hebd. 1 Adv.,01014000
Fer. 4 Hebd. 1 Quad.,07014000
Fer. 4 Hebd. 2 Adv.,01024000
Fer. 4 Hebd. 2 p.Ep.,05024000
Fer. 4 Hebd. 2 Quad.,07024000
Fer. 4 Hebd. 3 Adv.,01034000
Fer. 4 Hebd. 3 p.Ep.,05034000
Fer. 4 Hebd. 3 Pasc.,08034000
Fer. 4 Hebd. 3 Quad.,07034000
Fer. 4 Hebd. 4 Adv.,01044000
Fer. 4 Hebd. 4 p.Ep.,05044000
Fer. 4 Hebd. 4 Pasc.,08044000
Fer. 4 Hebd. 4 Quad.,07044000
Fer. 4 Hebd. 5 p.Ep.,05054000
Fer. 4 Hebd. 5 Pasc.,08054000
Fer. 4 in estate,10004000
Fer. 4 in Letaniis,08064000
Fer. 4 in Pent. 17,09164000
Fer. 4 in Pent. 19,09184000
Fer. 4 Maj. Hebd.,07064000
Fer. 4 p. Epiphaniam,05014000
Fer. 4 p. Nat. Dom.,03024000
Fer. 4 p. Oct.Pasch.,08024000
Fer. 4 p. Pascha,08014000
Fer. 4 Pent.,08084000
Fer. 4 per annum,04004000
Fer. 4 post Ascensionem,08074000
Fer. 4 Q.T. Adventus,01034009
Fer. 4 Q.T. Pent.,08084009
Fer. 4 Q.T. Quad.,07014009
Fer. 4 Q.T. Sept.,11090409
Fer. 4 Quadragesimae,07004000
Fer. 4 Septuagesimae,06014000
Fer. 4 Sexagesimae,06024000
Fer. 4 Trinitate,09014000
Fer. 5 de Passione,07055000
Fer. 5 Hebd. 1 Adv.,01015000
Fer. 5 Hebd. 1 Quad.,07015000
Fer. 5 Hebd. 2 Adv.,01025000
Fer. 5 Hebd. 2 p.Ep.,05025000
Fer. 5 Hebd. 2 Quad.,07025000
Fer. 5 Hebd. 3 Adv.,01035000
Fer. 5 Hebd. 3 p.Ep.,05035000
Fer. 5 Hebd. 3 Pasc.,08035000
Fer. 5 Hebd. 3 Pent.,09025010
Fer. 5 Hebd. 3 Quad.,07035000
Fer. 5 Hebd. 4 Adv.,01045000
Fer. 5 Hebd. 4 p.Ep.,05045000
Fer. 5 Hebd. 4 Pasc.,08045000
Fer. 5 Hebd. 4 Quad.,07045000
Fer. 5 Hebd. 5 p.Ep.,05055000
Fer. 5 Hebd. 5 Pasc.,08055000
Fer. 5 in Cena Dom.,07065000
Fer. 5 in estate,10005000
Fer. 5 p. Epiphaniam,05015000
Fer. 5 p. Nat. Dom.,03025000
Fer. 5 p. Oct.Pasch.,08025000
Fer. 5 p. Pascha,08015000
Fer. 5 Pent.,08085000
Fer. 5 per annum,04005000
Fer. 5 post Cineres,06035000
Fer. 5 Q.T. Adventus,01035009
Fer. 5 Q.T. Pent.,08085009
Fer. 5 Quadragesimae,07005000
Fer. 5 Septuagesimae,06015000
Fer. 5 Sexagesimae,06025000
Fer. 6 Cor. Christi,09016000
Fer. 6 de Passione,07056000
Fer. 6 Hebd. 1 Adv.,01016000
Fer. 6 Hebd. 1 Quad.,07016000
Fer. 6 Hebd. 2 Adv.,01026000
Fer. 6 Hebd. 2 p.Ep.,05026000
Fer. 6 Hebd. 2 Quad.,07026000
Fer. 6 Hebd. 3 Adv.,01036000
Fer. 6 Hebd. 3 p.Ep.,05036000
Fer. 6 Hebd. 3 Pasc.,08036000
Fer. 6 Hebd. 3 Quad.,07036000
Fer. 6 Hebd. 4 Adv.,01046000
Fer. 6 Hebd. 4 p.Ep.,05046000
Fer. 6 Hebd. 4 Pasc.,08046000
Fer. 6 Hebd. 4 Quad.,07046000
Fer. 6 Hebd. 5 p.Ep.,05056000
Fer. 6 Hebd. 5 Pasc.,08056000
Fer. 6 in estate,10006000
Fer. 6 in Parasceve,07066000
Fer. 6 in Pent. 17,09166000
Fer. 6 p. Epiphaniam,05016000
Fer. 6 p. Nat. Dom.,03026000
Fer. 6 p. Oct. Asc.,08076000
Fer. 6 p. Oct.Pasch.,08026000
Fer. 6 p. Pascha,08016000
Fer. 6 Pent.,08086000
Fer. 6 per annum,04006000
Fer. 6 post Ascensionem,08066000
Fer. 6 post Cineres,06036000
Fer. 6 Q.T. Adventus,01036009
Fer. 6 Q.T. Pent.,08086009
Fer. 6 Q.T. Quad.,07016009
Fer. 6 Q.T. Sept.,11090609
Fer. 6 Quadragesimae,07006000
Fer. 6 Septuagesimae,06016000
Fer. 6 Sexagesimae,06026000
Feria 2 de Job,10302000
Feria 2 de Regum,10102000
Feria 2 TP,08002000
Feria 3 de Job,10303000
Feria 3 TP,08003000
Feria 4 TP,08004000
Feria 5 TP,08005000
Feria 6 TP,08006000
Fest. per annum,04000000
Festi 3 lectionum,16017000
Festi 9 lectionum,16014000
Festi 9 lectionum TP,16014080
"Festi 9 lectionum,8",16014008
Festum Sanguinis,17007000
Fidei et sociorum,14080140
Fidelis de Sigmaringa Mart.,
Fidis,14100600
Findani,14111530
"Firmi, Rustici",14080920
Firmini,14092500
"Firmini,8",14092508
"Florentii, Episc.",
Flori,14110400
Floriani,14050400
Florini,14111720
Foliani,14103110
Fortunatae et sociorum,14101420
"Fortunatae et sociorum,8",14101428
Franchae,14042700
Franciscae Romanae,14030910
Francisci,14100400
Francisci Borgiae,14101030
Francisci Carracciolo,14060400
Francisci de Paola,14040220
Francisci Salesii,14012930
Francisci Xaverii,14120300
"Francisci,8",14100408
Fructuosi Archiepiscopi Bracharensis,14041610
Fugae D. N. J. C. in Aegyptum,
Fursei,14011610
"Fusciani, Gentiani",14121110
Gabrielis,14121000
Gabrielis a Virgine Perdolente Confessoris,
"Gabrielis, Archang.",14031800
Galli,14101600
"Galli,8",14101608
Gangulfi,14051110
Gatiani,14121800
Gaudentii,14012220
Gaugerici,14081110
"Gaugerici,8",14081118
Gemmae,14081610
Genesii,14082530
Gengulfi,
Genovefae,14010300
Genulfi,14111330
Georgii,14042300
"Georgii, Adalberti",14062000
Geraldi Archiepiscopi Bracharensis,14120510
Geraldi Aureliaci,14101300
Gerardi,14092440
Gereonis et soc.,14101000
Germani,14073100
Germani Capuanae,14103030
Germani Parisien.,14052800
"Germani, Vedasti",14100110
Gertrudis,14111730
Gertrudis Nivellensis,14031700
"Geruntii Italicensis, Epi.",14082540
"Gervasii, Protasii",14061900
Gisleni,14100910
Goaris,14070610
Godehardi,14050410
"Gordiani, Epimachi",14051000
Gorgonii,14090900
Gratiarum Actionis,14101020
Gregorii,14031200
"Gregorii Barbadici Ep., Conf.",
"Gregorii Nazianzeni Episcopi, Confessoris et Ecclesiae Doctoris",
Gregorii Thauma.,14111700
Gregorii VII Papae Confessoris,
"Gregorii, Mart.",14122400
Gudulae,14010810
Gulielmi Abbatis,
Guthlaci,14041100
Hadulfi,14051900
Hebd. 1 Adventus,01018000
Hebd. 1 Quad.,07018000
Hebd. 2 Adventus,01028000
Hebd. 2 p. Pascha,08028000
Hebd. 2 Quad.,07028000
Hebd. 3 Adventus,01038000
Hebd. 3 p. Pascha,08038000
Hebd. 3 Quad.,07038000
Hebd. 4 Adventus,01048000
Hebd. 4 p. Pascha,08048000
Hebd. 4 Quad.,07048000
Hebd. 5 p. Pascha,08058000
Hebd. 6 p. Pascha,08068000
Hebd. Adventus,01008000
Hebd. de Job,10308000
Hebd. de Judith,10508000
