title,siglum,century,provenance,srclink
A-Wn Cod. 1821 – Graduale St. Pölten,A-Wn Cod. 1821,12th century,St. Pölten,http://hun-chant.eu/source/1667
 I-CFm Cod. 41 – Antiphonale Civitatense,I-CFm Cod. 41,14th century,Cividale,http://hun-chant.eu/source/1451
H-Efkö MS I. 1 a-b – Graduale Strigoniense Thomae Card. Bakócz I-II.,H-Efkö MS I. 1 a-b,15th century,Esztergom,http://hun-chant.eu/source/1295
Graz, Universitätsbibliothek, 29 (olim 38/8 f.),A-Gu 29 (olim 38/8 f.),14th century,St-Lambrecht,https://cantusdatabase.org/source/123610
