id,corpus_id,incipit,cantus_id,mode,finalis,differentia,siglum,position,folio,sequence,marginalia,cao_concordances,feast,genre,office,srclink,melody_id,full_text,full_text_manuscript,volpiano,notes,dataset_name,dataset_idx,image_link
,,Cernitis o socii ecce lintheamina,,,,,A-Gu 30,D15,003v,,,,08011000,D,M,https://cantusdatabase.org/source/123611,,Cernitis o socii ecce lintheamina et sudarium et corpus non est in sepulchro inventum,,,,,,https://unipub.uni-graz.at/obvugrscript/content/pageview/6789339
,,Cernitis o socii ecce lintheamina,,,,,A-KN CCl 1018,D08,004r,,,,08011000,D,M,https://cantusdatabase.org/source/123616,,Cernitis o socii ecce lintheamina et sudarium et corpus non est in sepulchro inventum,,1---h--g--f---gh7---fe--de--e---e--fg---g--fe--d--d--c---c---df--ed-efd--cd--d---dh---hgF--g7---fe---d---c---cd--dC--f---ffE--d--d---4,,,,http://manuscripta.at/diglit/AT5000-1018/012
