,title,siglum,description,rism,date,century,provenance,provenance_detail,segment,summary,indexing_notes,liturgical_occasions,indexing_date,srclink,cursus,image_link,n_cantus_chants,n_cantus_melodies
0,"Istanbul, Topkapı Sarayı Müzesi, Deissmann 42 (The Istanbul Antiphoner)",TR-Itks Deissmann 42,,,,,Esztergom,,,,,,,https://cantusdatabase.org/source/123706,Secular,,,
1,"Linz, Oberösterreichische Landesbibliothek, 290 (olim 183; olim Gamma p 19)",A-LIb 290 (olim 183; olim Gamma p 19),,,,12th century,Kremsmünster,,,,,,,https://cantusdatabase.org/source/123617,Monastic,,,
2,"Wien, Österreichische Nationalbibliothek, 1799**",A-Wn 1799**,,,,13th century,Rein,,,,,,,https://cantusdatabase.org/source/123667,Monastic,,,
3,"Halifax (Canada), St. Mary’s University - Patrick Power Library, M2149.L4 1554",CDN-Hsmu M2149.L4 1554,,,,16th century (1550-1575),Salzinnes,,,,,,,https://cantusdatabase.org/source/123723,Monastic,,,
4,"Köln, Erzbischöfliche Diözesan- und Dombibliothek, 1161",D-KNd 1161,,,,12th century,Köln,,,,,,,https://cantusdatabase.org/source/601861,Monastic,,,
5,"Paris, Bibliothèque nationale, NAL 1411",F-Pn NAL 1411,,,,12th century (2nd half),Milan,,,,,,,https://cantusdatabase.org/source/123677,Monastic,,,
6,"Wroclaw, Biblioteka Uniwersytecka, I F 401",PL-WRu I F 401,,,,13th century (1275-1300),Lubiąż,,,,,,,https://cantusdatabase.org/source/589069,Monastic,,,
7,"Zutphen, Stadsarchief en Stedelijke Bibliotheek, 6",NL-ZUa 6,,,,15th century,Zutphen,,,,,,,https://cantusdatabase.org/source/123648,,,,
8,"Toledo, Catedral - Archivo y Biblioteca Capitulares, 44.2",E-Tc 44.2,,,,11th century (1075-1100),Toledo,,,,,,,https://cantusdatabase.org/source/123639,Secular,,,
9,"Arras, Bibliothèque municipale, 465 (CGM 893)",F-AS 465 (CGM 893),,,,14th century,Arras,,,,,,,https://cantusdatabase.org/source/123593,Monastic,,,
10,"Valenciennes, Bibliothèque municipale, 114",F-VAL 114,,,,12th century,Saint-Amand,,,,,,,https://cantusdatabase.org/source/123642,Monastic,,,
11,"Lucca, Biblioteca Capitolare Feliniana e Biblioteca Arcivescovile, 601",I-Lc 601,,,,12th century,Pozzeveri,,,,,,,https://cantusdatabase.org/source/123680,Monastic,,,
12,"Paris, Bibliothèque nationale, Latin 15181",F-Pn Latin 15181,,,,14th century,Paris,,,,,,,https://cantusdatabase.org/source/123631,Secular,,,
13,"Cambrai, Bibliothèque municipale, Impr. XVI C 4",F-CA Impr. XVI C 4,,,,16th century (1500-1525),Cambrai,,,,,,,https://cantusdatabase.org/source/123602,Secular,,,
14,"Paris, Bibliothèque nationale, Latin 1085",F-Pn Latin 1085,,,,10th century (975-1000),St. Martial,,,,,,,https://cantusdatabase.org/source/123663,,,,
15,F-Pn : Lat. 909,F-Pn Lat. 909,,,,11th century,St Martial de Limoges,,,,,,,http://musmed.eu/source/13026,,,,
16,"Toledo, Catedral - Archivo y Biblioteca Capitulares, 44.1",E-Tc 44.1,,,,11th century (1000-1025),Tavèrnoles,,,,,,,https://cantusdatabase.org/source/123638,Secular,,,
17,"Graz, Universitätsbibliothek, 30 (olim 38/9 f.)",A-Gu 30 (olim 38/9 f.),,,,14th century,St-Lambrecht,,,,,,,https://cantusdatabase.org/source/123611,Monastic,,,
18,"Sankt Florian, Augustiner-Chorherrenstift - Bibliothek und Musikarchiv, XI 480",A-SF XI 480,,,,14th century,St-Florian,,,,,,,https://cantusdatabase.org/source/123658,Secular,,,
19,"Vorau, Stiftsbibliothek, 287 (olim XXIX)",A-VOR 287 (olim XXIX),,,,14th century,Vorau,,,,,,,https://cantusdatabase.org/source/123643,Secular,,,
20,"Wien, Diözesanarchiv, D-4",A-Wda D-4,,,,15th century,Kirnberg,,,,,,,https://cantusdatabase.org/source/123649,,,,
21,"Sankt-Gallen, Stiftsbibliothek, 388",CH-SGs 388,,,,12th century,St. Gallen,,,,,,,https://cantusdatabase.org/source/123750,,,,
22,"Fulda, Hessische Landesbibliothek, Aa 55",D-FUl Aa 55,,,,14th century,Rasdorf,,,,,,,https://cantusdatabase.org/source/123685,Secular,,,
23,"Karlsruhe, Badische Landesbibliothek - Musiksammlung, Aug. LX",D-KA Aug. LX,,,,12th century,Zwiefalten,,,,,,,https://cantusdatabase.org/source/123612,Monastic,,,
24,"Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 28 Helmst. (Heinemann-Nr. 31)",D-W Cod. Guelf. 28 Helmst. (Heinemann-Nr. 31),,,,16th century (1500-1525),Hilwartshausen,,,,,,,https://cantusdatabase.org/source/123716,Secular,,,
25,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [13] XIII",DK-Kk Gl. Kgl. S. 3449 8o [13] XIII,,,,16th century (1575-1600),Augsburg,,,,,,,https://cantusdatabase.org/source/123701,Secular,,,
26,"Cambrai, Bibliothèque municipale, 38 (olim 40)",F-CA 38 (olim 40),,,,13th century (1225-1250),Cambrai,,,,,,,https://cantusdatabase.org/source/123601,Secular,,,
27,"Budapest, Egyetemi Könyvtár (University Library), lat. 121",H-Bu lat. 121,,,,14th century,Franciscan,,,,,,,https://cantusdatabase.org/source/123599,Secular,,,
28,"Naples, Biblioteca Nazionale Vittorio Emanuele III, vi. E. 20",I-Nn vi. E. 20,,,,13th century,Italy,,,,,,,https://cantusdatabase.org/source/123674,Secular,,,
29," Print (Multiple Copies), MA Impr. 1537 (Münster Antiphoner)",Cantus MA Impr. 1537,,,,16th century (1525-1550),Muenster,,,,,,,https://cantusdatabase.org/source/123724,Secular,,,
30,"Kielce, Biblioteka Kapituły Katedralnej, Ms. 1",PL-KIk Ms. 1,,,,14th century (1350-1375),Kielce,,,,,,,https://cantusdatabase.org/source/123736,Secular,,,
