type,name,site_type,concentration,size,effective_size,binding_model,binding_oparams,effect_model,effect_oparams,unbinding_model,unbinding_oparams
RNAP,RNAP,gene,1.0,30,20,none,none,RNAPUniform,none,RNAPSimpleUnbinding,none
topo,topoI,DNA,17.0,20,10,none,none,TopoIContinuum,none,none,none
topo,gyrase,DNA,44.6,30,20,none,none,GyraseContinuum,none,none,none
