E_20,ZnPc_20,E_40,ZnPc_40,E_55,ZnPc_55,E_70,ZnPc_70,E_90,ZnPc_90
270.19992,0.039316151,270.20102,0.03331548,270.2002,0.02738728,270.1998,0.03211505,270.20248,0.026451275
270.30038,0.038349599,270.30029,0.028250344,270.30035,0.02988302,270.30066,0.031203659,270.29993,0.02603763
270.40048,0.0355042,270.39804,0.028611848,270.40021,0.029569907,270.40094,0.021681966,270.39966,0.018530617
270.50085,0.034431182,270.49963,0.028570516,270.50003,0.024997925,270.50043,0.027894361,270.50034,0.024752526
270.60025,0.037773468,270.59976,0.028575772,270.59988,0.030689966,270.59998,0.029612312,270.60019,0.027435184
270.70023,0.03575312,270.70029,0.030446712,270.70062,0.031148272,270.70023,0.027699916,270.69992,0.025777739
270.79675,0.033768538,270.80054,0.027957305,270.79944,0.025619837,270.80002,0.021774635,270.79974,0.022281514
270.89978,0.034997802,270.8999,0.029164735,270.89856,0.02515264,270.90042,0.026486551,270.89999,0.026299737
271.00046,0.034765318,270.99997,0.025028111,271,0.026896864,271.0007,0.027630167,271.00284,0.025983552
271.10052,0.033266619,271.10028,0.028108258,271.10013,0.026240885,271.10019,0.023872087,271.10022,0.020026024
271.19952,0.031260006,271.20038,0.025631813,271.2001,0.024130739,271.20035,0.021473918,271.20407,0.019659558
271.29559,0.033715434,271.30069,0.025655776,271.3002,0.025485788,271.29678,0.025160598,271.3009,0.024270764
271.4007,0.033316936,271.40018,0.028469376,271.40067,0.027355436,271.40033,0.025402717,271.39999,0.022654783
271.50003,0.032344643,271.50024,0.02795996,271.49896,0.026270442,271.49979,0.019089015,271.49951,0.019518025
271.59778,0.029069621,271.59747,0.025807682,271.60107,0.022076787,271.60101,0.020787647,271.60025,0.021316845
271.69995,0.031461447,271.69678,0.02447878,271.6998,0.024040909,271.70062,0.024254603,271.70032,0.025049511
271.79944,0.030873833,271.80023,0.026152411,271.79636,0.024695363,271.80011,0.023616476,271.79929,0.022482721
271.89951,0.027748134,271.89987,0.024412556,271.89984,0.023211008,271.90054,0.01319771,271.90033,0.015261166
271.99951,0.031135757,271.99213,0.027426658,272.00015,0.022804517,272.00037,0.022393366,271.99982,0.021773178
272.09991,0.031990949,272.1004,0.024150645,272.10123,0.026963905,272.09979,0.022091581,272.10043,0.023509832
272.20105,0.030815776,272.20071,0.025155818,272.20038,0.026077412,272.20065,0.021612404,272.19989,0.023465186
272.30042,0.025906745,272.29874,0.021956416,272.29993,0.022037013,272.29996,0.011240938,272.3006,0.012562531
272.39816,0.02823725,272.39996,0.021428756,272.40002,0.019576171,272.39981,0.019547073,272.40021,0.020435141
272.49985,0.028201876,272.50067,0.020379907,272.50006,0.023040636,272.50067,0.019746615,272.50015,0.020030335
272.5994,0.026056603,272.59967,0.02171257,272.60172,0.022041624,272.60019,0.019576157,272.60028,0.019051569
272.70068,0.023623012,272.70029,0.02124472,272.70047,0.019185139,272.69958,0.0088740261,272.70056,0.011476992
272.80112,0.024897162,272.79764,0.022788735,272.79993,0.01666598,272.79959,0.016843351,272.80008,0.019704245
272.89951,0.024107484,272.9007,0.022205314,272.90027,0.020106593,272.90073,0.016180525,272.90082,0.018097635
272.99695,0.024528861,272.99991,0.022502396,272.99588,0.019723156,273.00003,0.014690204,272.99988,0.016554318
273.10031,0.023547618,273.09201,0.020529699,273.09976,0.018134212,273.10022,0.010022438,273.10071,0.0086158253
273.19153,0.025423059,273.20294,0.019818902,273.20068,0.016638413,273.19995,0.017632427,273.19958,0.016869593
273.30054,0.024794413,273.30011,0.020374546,273.30334,0.019416979,273.30087,0.01709424,273.2999,0.015862966
273.40067,0.022681139,273.4003,0.019945554,273.39963,0.017611651,273.40085,0.014907323,273.3999,0.014758604
273.50009,0.021001175,273.50027,0.016878704,273.50003,0.014830698,273.50018,0.010931937,273.50037,0.0068653109
273.59955,0.023662861,273.60046,0.016167445,273.60291,0.013245933,273.60062,0.015204237,273.60028,0.015663579
273.70074,0.0229358,273.70062,0.017551929,273.70016,0.016999228,273.70081,0.015058722,273.69934,0.014158245
273.79959,0.020801364,273.79688,0.017822009,273.8002,0.015731355,273.80167,0.012249626,273.79971,0.013776277
273.89993,0.018294573,273.90268,0.016928077,273.90045,0.014084657,273.90021,0.010718959,273.90002,0.0051573468
273.99939,0.019921517,274.00021,0.014322996,273.99988,0.012479291,274.00058,0.014361227,274.00113,0.014062071
274.10001,0.019496819,274.10013,0.016993735,274.10062,0.015853461,274.09995,0.014349533,274.09979,0.013557354
274.20178,0.01639659,274.20428,0.014537956,274.20084,0.014064156,274.20004,0.0053817895,274.20044,0.012289154
274.29977,0.013708168,274.29974,0.013810179,274.29977,0.013234787,274.2995,0.01107391,274.3002,0.0051812325
274.39984,0.016629102,274.39893,0.012812531,274.40005,0.011140497,274.40048,0.012914627,274.40018,0.011406324
274.50064,0.016096028,274.50018,0.015484377,274.50073,0.013483578,274.50027,0.011881164,274.50262,0.010780084
274.60049,0.014382095,274.60062,0.013291101,274.60016,0.01158298,274.6004,0.0067682909,274.60431,0.010860835
274.70053,0.013863879,274.70004,0.011698975,274.7005,0.0082004843,274.70016,0.010639409,274.69995,0.0034730313
274.80054,0.014229225,274.80038,0.011111431,274.7988,0.010855548,274.79898,0.011787709,274.80042,0.010660558
274.89984,0.014962083,274.90091,0.013787426,274.90015,0.012127369,274.89908,0.010186674,274.90005,0.0094250031
275.00012,0.012310641,275.00043,0.012109826,275.00003,0.0096604889,274.99908,0.0025422412,275.00061,0.0077405288
275.10461,0.012843659,275.09964,0.009558267,275.10217,0.0078645833,275.10056,0.0097921072,275.10025,0.0037594582
275.20041,0.013005338,275.19995,0.012763957,275.20029,0.0095504243,275.19916,0.0085979886,275.2002,0.0091237267
275.30038,0.012354768,275.29953,0.011484402,275.30069,0.0092980508,275.29987,0.0075411014,275.30032,0.0079458281
275.40027,0.0091682523,275.40036,0.0091920728,275.39957,0.007488477,275.3999,0.0028098456,275.39975,0.006816512
275.49963,0.011519922,275.49994,0.0072394731,275.50073,0.0058531906,275.49988,0.0083081964,275.50021,0.0044880616
275.59686,0.012272479,275.59979,0.010037378,275.59991,0.0091513302,275.59991,0.0089570619,275.60049,0.009721593
275.70007,0.012493341,275.69971,0.010646723,275.70102,0.0083963657,275.70041,0.0058301575,275.7002,0.0088634584
275.79984,0.0082260715,275.80008,0.0073395059,275.80203,0.00557335,275.79996,0.0039619496,275.80023,0.0057973294
275.89993,0.011651263,275.90097,0.0065540085,275.90027,0.004254194,275.89981,0.0078385398,275.9003,0.004281457
275.99768,0.010267047,276.00018,0.0095966365,276.00015,0.0089440038,275.99957,0.0074365707,276.00034,0.007474863
276.10086,0.0093807848,276.10007,0.0092699192,276.09985,0.0085061984,276.10031,0.0015455462,276.09976,0.0072960388
276.19995,0.0064599626,276.20026,0.0080968384,276.20026,0.0063633448,276.20059,0.0055794381,276.20013,0.0013641566
276.29977,0.0095526222,276.30026,0.0066838036,276.30011,0.0046123867,276.30072,0.0081942957,276.3006,0.0067850733
276.40002,0.009015101,276.39734,0.0094479267,276.39984,0.0068017477,276.40085,0.0065636337,276.40024,0.0075709978
276.50052,0.0080608744,276.50031,0.009004917,276.50003,0.0063998341,276.50098,0.00021586375,276.50119,0.0074635134
276.5997,0.0045764153,276.60031,0.0061373077,276.60236,0.0035973191,276.59976,0.0037904242,276.59998,-0.0002640048
276.69943,0.0058610346,276.69974,0.0049256268,276.70013,0.00071655132,276.70056,0.0061734524,276.69983,0.0057113776
276.80069,0.0056564668,276.79999,0.0074502844,276.80063,0.0055957083,276.7999,0.0071357782,276.79614,0.0042813383
276.8999,0.0042428426,276.90051,0.0064544906,276.90012,0.0047230818,276.89981,-0.0012417741,276.89978,0.0052431207
277.00012,0.0021394747,277.00232,0.0055174748,276.99985,0.004291811,277.00027,0.0028640223,277.00424,-0.0028266031
277.09988,0.0034106136,277.10049,0.0024605973,277.09998,0.0028500173,277.09991,0.003879176,277.10025,0.005030347
277.20029,0.0028804941,277.1994,0.0032203009,277.2005,0.0047378438,277.19424,0.0029585459,277.20038,0.003194968
277.29916,0.0021143153,277.29993,0.0022265688,277.29999,0.0032204837,277.30011,-0.0034105498,277.30017,-0.0025988219
277.40015,0.00064108538,277.40009,0.00026482169,277.39975,-0.00058077776,277.40012,0.0009958517,277.39987,0.00048537969
277.50024,0.0036155751,277.49973,0.001123347,277.49991,0.00076461775,277.50024,0.0024520278,277.50009,0.0033740096
277.59604,0.0021578518,277.60019,0.0028147323,277.59973,0.0018914421,277.60016,0.0016054387,277.6015,0.0020706938
277.69977,-0.00038279383,277.69995,0.00063428882,277.70016,-0.00050869473,277.69989,-0.0040200991,277.70065,-0.0066634319
277.7998,0.0011485222,277.80023,0.00041819512,277.80002,-0.0020457257,277.80115,0.00045344693,277.80026,0.0022062552
277.9007,0.0036397779,277.89957,0.0025994889,277.9003,0.00080916792,277.89819,0.0028976039,277.90018,0.0027756093
278.00006,0.0030651367,278.00027,0.0025695204,277.9993,0.00088387157,277.99936,-6.156024e-05,277.99982,0.0024404824
278.09964,0.00052412529,278.10007,0.00069255114,278.10043,-0.00049161108,278.09982,-0.0062218197,278.10037,-0.005454313
278.20016,0.0026844256,278.20047,-0.0013700792,278.19974,-0.00087610929,278.2001,0.0013458924,278.2001,0.0039898693
278.30075,0.0026575213,278.30081,0.0021943327,278.29315,0.00077569723,278.29984,0.003073402,278.30005,0.0029605036
278.39969,0.0024169313,278.39941,0.0021344468,278.40076,0.00099294155,278.39758,0.00065503095,278.40021,0.00070902845
278.49936,0.001667216,278.50061,0.0014644946,278.50211,0.0016878647,278.50064,0.0013012916,278.50024,-0.0018631398
278.59357,0.002562653,278.60028,-0.0014136536,278.5994,-0.0016251361,278.5997,0.0023266398,278.60107,0.0020876585
278.70029,0.0017722156,278.70047,0.0015254369,278.70035,0.0012587499,278.69998,0.0015175864,278.70062,0.0011479028
278.79935,-0.0016012782,278.8002,-0.00099816418,278.79926,-0.001593689,278.7998,-0.0044813422,278.79974,-0.0045287935
278.90021,-0.0013766451,278.9003,-0.00030927215,278.90015,-0.0014870074,278.90015,-0.0015409549,278.90073,-0.0020969319
279.00021,-0.00066162937,279.00055,-0.0043300935,278.99982,-0.0032789663,278.99915,6.4446169e-05,279.00037,-0.0001134754
279.10034,-0.0025182723,279.1011,-0.001477018,279.10089,0.0014066313,279.10016,0.00065666129,279.10046,-0.00031648148
279.19986,-0.0051163007,279.19983,-0.0042090854,279.19974,-0.001462659,279.20074,-0.0062739351,279.20001,-0.0062927338
279.29965,-0.0038855742,279.30017,-0.0016477079,279.29965,-0.00058313296,279.29996,-0.0016279076,279.30035,-0.0016823187
279.39996,-0.00364656,279.40045,-0.005611375,279.40067,-0.0043035541,279.39984,-0.0010250671,279.4007,0.00047234949
279.50082,-0.0046536666,279.50052,-0.0027775485,279.49969,-0.00029675793,279.4996,-0.0012277567,279.49951,-0.00010329247
279.5997,-0.008358622,279.60355,-0.0065515344,279.60007,-0.0030317341,279.59796,-0.0097956872,279.60068,-0.0073241554
279.70007,-0.0038424036,279.70227,-0.0034033852,279.69714,-0.00030186644,279.69965,-0.00061989384,279.70053,-0.0012665191
279.80075,-0.0016607995,279.7998,-0.0050309165,279.79977,-0.0033187727,279.79959,0.0017255608,279.80136,0.00026163206
279.90009,-0.0029712254,279.89923,-0.0021197847,279.90039,-0.0016757899,279.8996,0.00052224071,279.90027,-0.00052225572
280.00043,-0.005675829,279.99625,-0.0048976936,280.00067,-0.0044848397,280.00021,-0.0081583532,280.00037,-0.0087304479
280.0994,-0.004318743,280.10019,-0.0045342823,280.10077,-0.0024116144,280.09918,-0.00020253976,280.10049,-0.0024717033
280.20062,-0.0051871352,280.19952,-0.007320154,280.19952,-0.0083187753,280.19995,-0.0014494298,280.19992,-0.0026591879
280.29581,-0.0061272061,280.29929,-0.0050712181,280.29974,-0.0030733985,280.30017,-0.0010432446,280.30188,-0.0012194008
280.39935,-0.0095818341,280.39966,-0.0075481012,280.40018,-0.0066022836,280.40033,-0.010557891,280.39969,-0.0089667514
280.49982,-0.0066566784,280.49979,-0.0058606067,280.49359,-0.0039662598,280.50058,-0.0015890413,280.50018,-0.00059970532
280.60037,-0.0060163527,280.59863,-0.0064408076,280.5968,-0.0046891803,280.60056,-0.00092619588,280.6011,-0.00073756039
280.69861,-0.0049801474,280.69974,-0.0039817053,280.70065,-0.0011703462,280.70032,0.00024878958,280.6998,-0.00080109003
280.79987,-0.0073438613,280.79984,-0.0049815183,280.80017,-0.0029858241,280.79938,-0.0077488511,280.80011,-0.0062706079
280.90036,-0.0044113598,280.90021,-0.0045417296,280.89935,-0.0030191289,280.9003,0.00053132954,280.89944,0.0006631756
281.00061,-0.0054153986,281.00031,-0.002559213,280.99997,-0.00560357,281.00021,0.00021440204,281.00034,0.0013087931
281.09973,-0.0075276876,281.10025,-0.0039862921,281.0994,-0.004075197,281.09973,-0.00054306065,281.10046,-6.9975504e-05
281.20016,-0.0063001132,281.20013,-0.0035358605,281.20032,-0.0029057465,281.20151,-0.0056144814,281.20065,-0.0045684772
281.29999,-0.0057214196,281.29965,-0.0068198605,281.2995,-0.003158319,281.30038,-0.00068227859,281.30054,0.00093720516
281.40094,-0.0047675311,281.3999,-0.0036739791,281.40091,-0.000804557,281.39972,0.00098498259,281.40079,0.0018958043
281.49966,-0.0072756717,281.50073,-0.0047613531,281.50043,-0.0018850067,281.49976,-0.005041718,281.50037,-0.0015355066
281.59967,-0.0038086043,281.59985,-0.0023010138,281.59976,0.0017637957,281.59735,0.0010869271,281.60001,-0.00065609696
281.69952,-0.0031790293,281.69962,-0.0052680629,281.7001,-0.0022658892,281.70044,0.0023801045,281.70059,0.0023409466
281.79987,-0.0034508293,281.79977,-0.0020874711,281.80078,0.0021887308,281.80042,0.0028072032,281.80048,0.0044375029
281.89954,-0.0036800215,281.89984,-0.0013668067,281.90005,0.0022225331,281.90002,-0.0027225555,281.90005,0.0008674867
282.00006,3.9230599e-05,282.00024,0.0016765684,281.99933,0.0056369081,281.99997,0.00545152,282.00061,0.004703287
282.10202,0.001904457,282.1004,0.0018593436,282.10004,0.0015246909,282.09665,0.0068708165,282.10062,0.0079604993
282.19839,0.0049660476,282.20029,0.0066278349,282.20041,0.0099634174,282.19226,0.0085682301,282.19745,0.010375455
282.30051,0.007531262,282.30002,0.0080195339,282.29984,0.0090864124,282.30026,0.0023412006,282.29959,0.0052050389
282.39868,0.0063808821,282.40033,0.0099773901,282.40051,0.012217696,282.40082,0.010092732,282.40039,0.011930695
282.50177,0.0063688653,282.49948,0.0049220449,282.49939,0.007172015,282.49286,0.011097166,282.50043,0.012936789
282.59982,0.0050663478,282.6001,0.0095395846,282.60086,0.012001082,282.60016,0.014230048,282.60052,0.014821638
282.69489,0.0043484331,282.69958,0.009439243,282.69995,0.014678173,282.69989,0.005262454,282.6998,0.011236378
