year,region,product,activity,feedstocktype,property,value,unit
2006,World,methanol,csr_a,natural_gas,def,2.3,kg/t
2006,World,methanol,csr_a,natural_gas,abs_max,inf,kg/t
2006,World,methanol,csr_a,natural_gas,abs_min,0.0,kg/t
2006,World,ethylene,sc,ethane,abs_max,inf,kg/t
2006,World,ethylene,sc,ethane,abs_min,0.0,kg/t
2006,World,ethylene,sc,ethane,def,6.0,kg/t
2006,World,ethylene,sc,ethane,max,6.60,kg/t
2006,World,ethylene,sc,ethane,min,5.4,kg/t
2006,World,ethylene,sc,naphtha,abs_max,inf,kg/t
2006,World,ethylene,sc,naphtha,abs_min,0.0,kg/t
2006,World,ethylene,sc,naphtha,def,3.0,kg/t
2006,World,ethylene,sc,naphtha,max,3.30,kg/t
2006,World,ethylene,sc,naphtha,min,2.7,kg/t
2006,World,ethylene,others,others,abs_max,inf,kg/t
2006,World,ethylene,others,others,abs_min,0.0,kg/t
2006,World,ethylene,others,others,def,3.0,kg/t
2006,World,ethylene,others,others,max,3.30,kg/t
2006,World,ethylene,others,others,min,2.7,kg/t
2006,World,ethylene_oxide,no_thermt,ethylene,abs_max,inf,kg/t
2006,World,ethylene_oxide,no_thermt,ethylene,abs_min,0.0,kg/t
2006,World,ethylene_oxide,no_thermt,ethylene,def,1.79,kg/t
2006,World,ethylene_oxide,no_thermt,ethylene,max,2.86,kg/t
2006,World,ethylene_oxide,no_thermt,ethylene,min,0.72,kg/t
2006,World,ethylene_oxide,thermt,ethylene,abs_max,inf,kg/t
2006,World,ethylene_oxide,thermt,ethylene,abs_min,0.0,kg/t
2006,World,ethylene_oxide,thermt,ethylene,def,0.79,kg/t
2006,World,ethylene_oxide,thermt,ethylene,max,1.26,kg/t
2006,World,ethylene_oxide,thermt,ethylene,min,0.32,kg/t
2006,AU,carbon_black,furn_black_wtt,cb_natural_gas,abs_max,inf,kg/t
2006,AU,carbon_black,furn_black_wtt,cb_natural_gas,abs_min,0.0,kg/t
2006,AU,carbon_black,furn_black_wtt,cb_natural_gas,def,0.11,kg/t
2006,DE,carbon_black,furn_black_wtt,cb_natural_gas,abs_max,inf,kg/t
2006,DE,carbon_black,furn_black_wtt,cb_natural_gas,abs_min,0.0,kg/t
2006,DE,carbon_black,furn_black_wtt,cb_natural_gas,def,0.03,kg/t
2006,World,carbon_black,no_thermt,cb_natural_gas,abs_max,inf,kg/t
2006,World,carbon_black,no_thermt,cb_natural_gas,abs_min,0.0,kg/t
2006,World,carbon_black,no_thermt,cb_natural_gas,def,28.7,kg/t
2006,World,carbon_black,no_thermt,cb_natural_gas,max,53.095,kg/t
2006,World,carbon_black,no_thermt,cb_natural_gas,min,4.31,kg/t
2006,World,carbon_black,thermt,cb_natural_gas,abs_max,inf,kg/t
2006,World,carbon_black,thermt,cb_natural_gas,abs_min,0.0,kg/t
2006,World,carbon_black,thermt,cb_natural_gas,def,0.06,kg/t
2006,World,carbon_black,thermt,cb_natural_gas,max,0.111,kg/t
2006,World,carbon_black,thermt,cb_natural_gas,min,0.01,kg/t
2006,World,acrylonitrile,sohio,propylene,abs_max,0.29,kg/t
2006,World,acrylonitrile,sohio,propylene,aabs_min,0.07,kg/t
2006,World,acrylonitrile,sohio,propylene,adef,0.18,kg/t
2006,World,acrylonitrile,sohio,propylene,amax,inf,kg/t
2006,World,acrylonitrile,sohio,propylene,min,0.0,kg/t
2006,World,vinyl_chloride_monomer,int_edc_vcm,ethylene,def,0.023,kg/t
2006,World,vinyl_chloride_monomer,int_edc_vcm,ethylene,min,0.020,kg/t
2006,World,vinyl_chloride_monomer,int_edc_vcm,ethylene,max,0.0249,kg/t
2006,World,vinyl_chloride_monomer,int_edc_vcm,ethylene,abs_min,0.0,kg/t
2006,World,vinyl_chloride_monomer,int_edc_vcm,ethylene,abs_max,inf,kg/t
