year,region,product,feedstocktype,property,value,unit
2006,GB,ethylene,ethane,def,0.681,t/t
2006,GB,ethylene,propane,def,0.18,t/t
2006,GB,ethylene,butane,def,0.085,t/t
2006,GB,ethylene,heavy_oil,def,0.054,t/t
2006,GB,ethylene,naphtha,def,1.0,t/t
2006,GB,ethylene,ethane,min,0.681,t/t
2006,GB,ethylene,propane,min,0.18,t/t
2006,GB,ethylene,butane,min,0.085,t/t
2006,GB,ethylene,heavy_oil,min,0.054,t/t
2006,GB,ethylene,naphtha,min,1.0,t/t
2006,GB,ethylene,ethane,max,0.681,t/t
2006,GB,ethylene,propane,max,0.18,t/t
2006,GB,ethylene,butane,max,0.085,t/t
2006,GB,ethylene,heavy_oil,max,0.054,t/t
2006,GB,ethylene,naphtha,max,1.0,t/t
2006,GB,ethylene,ethane,abs_min,0.0,t/t
2006,GB,ethylene,propane,abs_min,0.0,t/t
2006,GB,ethylene,butane,abs_min,0.0,t/t
2006,GB,ethylene,heavy_oil,abs_min,0.0,t/t
2006,GB,ethylene,naphtha,abs_min,0.0,t/t
2006,GB,ethylene,ethane,abs_max,1.0,t/t
2006,GB,ethylene,propane,abs_max,1.0,t/t
2006,GB,ethylene,butane,abs_max,1.0,t/t
2006,GB,ethylene,heavy_oil,abs_max,1.0,t/t
2006,GB,ethylene,naphtha,abs_max,1.0,t/t
