type,name,site,position,direction,size,k_cat,k_off,twist,superhelical
origin,ori,ori,3085,0,100,0.0,0.0,0.0,0.0
NAP,lacI,lac1,3167,0,20,0.0,0.0,0.0,0.0
NAP,lacI,lac2,4371,0,20,0.0,0.0,0.0,0.0
