,id,corpus_id,chantlink,incipit,cantus_id,mode,finalis,differentia,siglum,position,folio,sequence,marginalia,cao_concordances,feast,feast_code,genre,office,srclink,melody_id,full_text,full_text_manuscript,volpiano,notes,dataset_name,dataset_idx,db,image_link,source_file
0,,,https://cantus.sk/chant/21201,Quasi David dejicit funda Philistaeum dum ,206135,,,,SK-Bra (Bratislava) Antiphonary of Bratislava I EC Lad.3,4,163v,,,,Emerici,14110500,A,L,https://cantus.sk/source/14828,,Quasi David dejicit funda Philistaeum dum de carne perficit Emericus trophaeum,,,,,,CSK,,A
1,,,https://cantusdatabase.org/chant/264975,Quasi David deicit funda Philisteum,206135,7,,,TR-Itks 42,4,228v,,,,Depositio Emerici,14090210,A,L,https://cantusdatabase.org/source/123706,,Quasi David deicit funda Philisteum dum de carne perficit Emericus tropheum,,,,,,CD,,A
2,,,https://cantusdatabase.org/chant/337310,Quidam autem ex Judaeis,204164,*,,,A-LIb 290,M,200v,,,,Fer. 5 Hebd. 4 Quad.,07045000,A,V2,https://cantusdatabase.org/source/123617,,,,,,,,CD,https://digi.landesbibliothek.at/viewer/image/290/402/,A
3,,,https://cantusdatabase.org/chant/544305,Quidam autem ex Judaeis volebant,204164,8,,,A-Wn 1799**,M,058r,,,,Fer. 5 Hebd. 4 Quad.,07045000,A,V2,https://cantusdatabase.org/source/123667,,Quidam autem ex Judaeis volebant interficere Jesum sed nemo misit super illum manus,,1---fg--g---h--g---h---kj--h--h---h7--k--kl---j--kJ--h--g--hk---hg--g---g---h--g---efg--gfed---d--ef---gh--h---g--g---4---k--k--j--k--h--g7---3,,,,CD,http://digital.onb.ac.at/RepViewer/viewer.faces?doc=DTL_2980646&order=1&view=SINGLE#,A
4,,,https://cantusdatabase.org/chant/271391,Quidam autem ex Judaeis volebant,204164,8,,,CDN-Hsmu M2149.L4,M,101r,,,,Fer. 5 Hebd. 4 Quad.,07045000,A,V2,https://cantusdatabase.org/source/123723,,Quidam autem ex Judaeis volebant interficere Jesum sed nemo misit super illum manus,,1---fg--g---h--g---h---kj--h--h---h--k--kl---j--kj7--h--g--hk---hg--g---g---h--g---efg--gfed---d-ef---gh--h---g--g77---4---k--k--j--k--h--g---3,,,,CD,https://cantus.simssa.ca/manuscript/123723/?folio%5B0%5D=101r&pageAlias=Folio%218101r,A
5,,,https://cantusdatabase.org/chant/603030,Quidam autem ex Judaeis volebant ,204164,8,,,D-KNd 1161,M,062v,,,,Fer. 5 Hebd. 4 Quad.,07045000,A,V2,https://cantusdatabase.org/source/601861,,Quidam autem ex Judaeis volebant interficere Jesum sed nemo misit super illum manus,,1---fg--g---h--g---h---kj--h--h---h--k--kl---j--kJ--h--g7--hk---hg--g---g---h--g---efg--gfed---d--ef---gh--h---g--g---4---k--k--j--k--h--g7---3,,,,CD,https://digital.dombibliothek-koeln.de/hs/content/zoom/210506,A
6,,,https://musicahispanica.eu/chant/22447,Quidam autem ex Judaeis volebant inter ,204164,8,,,E-H (Huesca) Ms. 7,M,174r,,,,Fer. 5 de Passione,07055000,A,V2,https://musicahispanica.eu/source/20425,,Quidam autem ex Judaeis volebant inter ficere Jesum sed nemo misit super illum manus,,,,,,SEMM,0,A
7,,,https://cantusdatabase.org/chant/452421,Quidam autem ex Judaeis,204164,8,,,F-Pn NAL 1411,M,078v,,,,Fer. 5 Hebd. 4 Quad.,07045000,A,V2,https://cantusdatabase.org/source/123677,,,,,,,,CD,https://gallica.bnf.fr/ark:/12148/btv1b10033588d/f86.image,A
8,,,https://pemdatabase.eu/musical-item/67858,Quidam autem ex Judaeis volebant inter ,204164,8,,,P-AR (Arouca) Museu Regional de Arte Sacra do Mosteiro de Arouca Res. Ms. 021,M,093r,,,,"Quadrag., hebd. 4, fer. 5",,A,V2,https://pemdatabase.eu/source/62867,,,,,,,,PEM,https://pemdatabase.eu/gallery-item/2703,A
9,,,https://cantusdatabase.org/chant/597035,Quidam autem ex Judaeis,204164,8,,,PL-WRu I F 401,M,062r,,,,Fer. 5 Hebd. 4 Quad.,07045000,A,V2,https://cantusdatabase.org/source/589069,,,,1---fg--g---h--g---h---kj--h--h---4,,,,CD,https://iip.bu.uni.wroc.pl/index.php?s=RKP_I_F_401_23465&p=66&x=0.49999999999999994&y=0.36834813788607274&z=0.7573203181057163&browser=seadragon,A
10,,,https://cantusdatabase.org/chant/264404,Iussit eam virgis cedi suspensam,206051,6,,,TR-Itks 42,2.3,192v,,,,Margaritae,14072010,A,M,https://cantusdatabase.org/source/123706,,Iussit eam virgis cedi suspensam in arbore,,,,,,CD,,A
11,,,https://cantusdatabase.org/chant/533610,His festis mundus jubili sit,202197,1,,,NL-ZUa 6,1.1,218v,,,,Gudulae,14010810,A,M,https://cantusdatabase.org/source/123648,,,,,,,,CD,,A
12,,,https://cantusdatabase.org/chant/482436,Puer Jesus crescebat plenus,204000,8,,,E-Tc 44.2,M,026r,,,,Dom. p. Nat. Dom.,03021000,A,V2,https://cantusdatabase.org/source/123639,,,,,,,,CD,,A
