year,region,product,activity,property,value,unit
2006,World,methanol,csr_a,def,93.8,%
2006,World,methanol,csr_b,def,0,%
2006,World,methanol,csr_c1,def,0,%
2006,World,methanol,csr_c2,def,0,%
2006,World,methanol,csr_c3,def,0,%
2006,World,methanol,csr_c4,def,0,%
2006,World,methanol,csr_w_nh3,def,0,%
2006,World,methanol,atr,def,2.5,%
2006,World,methanol,pox,def,2.5,%
2006,World,methanol,cct,def,0.5,%
2006,World,methanol,cgt,def,0.5,%
2006,World,methanol,gasify_bio,def,0.2,%
2006,World,ethylene,sc,def,100,%
2006,EUR,ethylene,sc,def,100,%
2006,NAM,ethylene,sc,def,100,%
2006,SAM,ethylene,sc,def,100,%
2006,ASI,ethylene,sc,def,100,%
2006,AFR,ethylene,sc,def,100,%
2006,AUS,ethylene,sc,def,100,%
2006,World,ethylene_oxide,catox_tt,def,100,%
2006,World,ethylene_dichloride,bal_edc_vcm,def,100,%
2006,World,vinyl_chloride_monomer,bal_edc_vcm,def,100,%
2006,World,acrylonitrile,dammox_flare,def,100,%
2006,World,carbon_black,furn_black_wtt,def,100,%
2006,World,methanol,csr_a,min,93.8,%
2006,World,methanol,csr_b,min,0,%
2006,World,methanol,csr_c1,min,0,%
2006,World,methanol,csr_c2,min,0,%
2006,World,methanol,csr_c3,min,0,%
2006,World,methanol,csr_c4,min,0,%
2006,World,methanol,csr_w_nh3,min,0,%
2006,World,methanol,atr,min,2.5,%
2006,World,methanol,pox,min,2.5,%
2006,World,methanol,cct,min,0.5,%
2006,World,methanol,cgt,min,0.5,%
2006,World,methanol,gasify_bio,min,0.2,%
2006,World,ethylene,sc,min,100,%
2006,EUR,ethylene,sc,min,100,%
2006,NAM,ethylene,sc,min,100,%
2006,SAM,ethylene,sc,min,100,%
2006,ASI,ethylene,sc,min,100,%
2006,AFR,ethylene,sc,min,100,%
2006,AUS,ethylene,sc,min,100,%
2006,World,ethylene_oxide,catox_tt,min,100,%
2006,World,ethylene_dichloride,bal_edc_vcm,min,100,%
2006,World,vinyl_chloride_monomer,bal_edc_vcm,min,100,%
2006,World,acrylonitrile,dammox_flare,min,100,%
2006,World,carbon_black,furn_black_wtt,min,100,%
2006,World,methanol,csr_a,max,93.8,%
2006,World,methanol,csr_b,max,0,%
2006,World,methanol,csr_c1,max,0,%
2006,World,methanol,csr_c2,max,0,%
2006,World,methanol,csr_c3,max,0,%
2006,World,methanol,csr_c4,max,0,%
2006,World,methanol,csr_w_nh3,max,0,%
2006,World,methanol,atr,max,2.5,%
2006,World,methanol,pox,max,2.5,%
2006,World,methanol,cct,max,0.5,%
2006,World,methanol,cgt,max,0.5,%
2006,World,methanol,gasify_bio,max,0.2,%
2006,World,ethylene,sc,max,100,%
2006,EUR,ethylene,sc,max,100,%
2006,NAM,ethylene,sc,max,100,%
2006,SAM,ethylene,sc,max,100,%
2006,ASI,ethylene,sc,max,100,%
2006,AFR,ethylene,sc,max,100,%
2006,AUS,ethylene,sc,max,100,%
2006,World,ethylene_oxide,catox_tt,max,100,%
2006,World,ethylene_dichloride,bal_edc_vcm,max,100,%
2006,World,vinyl_chloride_monomer,bal_edc_vcm,max,100,%
2006,World,acrylonitrile,dammox_flare,max,100,%
2006,World,carbon_black,furn_black_wtt,max,100,%
2006,World,methanol,csr_a,abs_min,0,%
2006,World,methanol,csr_b,abs_min,0,%
2006,World,methanol,csr_c1,abs_min,0,%
