Mode,Actual Share,MNL Share,MNL Diff,NL Share,NL Diff
Walk,0.176,0.176,+0.000,0.181,+0.005
Cycle,0.030,0.030,+0.000,0.029,-0.001
PT,0.353,0.353,-0.000,0.349,-0.004
Car,0.442,0.442,+0.000,0.442,-0.000
