Model,Mode,Multiplier,Share (%)
MNL,Walk,1.0,17.59614788568755
MNL,Walk,1.25,17.68667872897739
MNL,Walk,1.5,17.76688747311274
MNL,Walk,2.0,17.906874859056106
MNL,Walk,3.0,18.14922469324194
MNL,Walk,6.0,18.818899862682926
MNL,Cycle,1.0,2.966054191137245
MNL,Cycle,1.25,3.019970463231754
MNL,Cycle,1.5,3.0689454198758703
MNL,Cycle,2.0,3.1568092317175265
MNL,Cycle,3.0,3.3145991089086646
MNL,Cycle,6.0,3.765308517683323
MNL,PT,1.0,35.276998240761756
MNL,PT,1.25,35.95422437881919
MNL,PT,1.5,36.557164133317706
MNL,PT,2.0,37.61458897893976
MNL,PT,3.0,39.44468630783218
MNL,PT,6.0,44.23117316819789
MNL,Car,1.0,44.16079968241344
MNL,Car,1.25,43.33912642897167
MNL,Car,1.5,42.60700297369369
MNL,Car,2.0,41.321726930286616
MNL,Car,3.0,39.091489890017215
MNL,Car,6.0,33.18461845143586
NL,Walk,1.0,18.11337506749672
NL,Walk,1.25,18.223396248491653
NL,Walk,1.5,18.32096992659881
NL,Walk,2.0,18.490493636264286
NL,Walk,3.0,18.779657681274905
NL,Walk,6.0,19.564214395646793
NL,Cycle,1.0,2.8654861175902004
NL,Cycle,1.25,2.945683790661106
NL,Cycle,1.5,3.019712454665146
NL,Cycle,2.0,3.153962323309545
NL,Cycle,3.0,3.398724115258979
NL,Cycle,6.0,4.1429154370967165
NL,PT,1.0,34.861287712846476
NL,PT,1.25,35.62685566241212
NL,PT,1.5,36.29377722686983
NL,PT,2.0,37.42136151219486
NL,PT,3.0,39.2791917360696
NL,PT,6.0,44.02395235045265
NL,Car,1.0,44.1598511020666
NL,Car,1.25,43.20406429843512
NL,Car,1.5,42.36554039186622
NL,Car,2.0,40.934182528231304
NL,Car,3.0,38.54242646739651
NL,Car,6.0,32.268917816803835
