Model,Multiplier,Share (%)
MNL,1.0,51.178187891436465
MNL,1.25,39.32816010470592
MNL,1.5,30.62065350577507
MNL,2.0,18.74341242513768
NL,1.0,51.17964388365828
NL,1.25,39.32845756390524
NL,1.5,30.620272022540483
NL,2.0,18.742452375785795
Mixed Logit,1.0,51.15810129504778
Mixed Logit,1.25,38.42619875964204
Mixed Logit,1.5,28.544583166604763
Mixed Logit,2.0,17.087566904617287
