Model,Variable,Multiplier,Car Share (%)
MNL,cost,1.0,44.16079968241344
MNL,cost,1.1,43.93257211302027
MNL,cost,1.25,43.59119425144944
MNL,cost,1.5,43.02495852164571
NL,cost,1.0,44.1598511020666
NL,cost,1.1,43.92168389965746
NL,cost,1.25,43.56450564099098
NL,cost,1.5,42.96968702774067
