Model,Multiplier,Share (%)
MNL,1.0,51.178187891436500
MNL,1.1,48.22809133910310
MNL,1.25,44.20192878055670
MNL,1.5,38.441352487155400
NL,1.0,51.178187891436500
NL,1.1,47.62809133910310
NL,1.25,43.40192878055670
NL,1.5,37.441352487155400
Mixed Logit,1.0,51.15810129504780
Mixed Logit,1.1,50.22761078174270
Mixed Logit,1.25,48.865634612981700
Mixed Logit,1.5,46.658798653234000
