Model,Mode,Multiplier,Share (%)
MNL,Walk,1.0,17.59614788568755
MNL,Walk,1.1,17.945679159743015
MNL,Walk,1.25,18.461468728225565
MNL,Walk,1.5,19.291602019666904
MNL,Cycle,1.0,2.966054191137245
MNL,Cycle,1.1,3.1718555418118735
MNL,Cycle,1.25,3.4799127716396066
MNL,Cycle,1.5,3.972460648521846
MNL,PT,1.0,35.276998240761756
MNL,PT,1.1,37.67287554786548
MNL,PT,1.25,41.024621690199034
MNL,PT,1.5,45.91322690740932
MNL,Car,1.0,44.16079968241344
MNL,Car,1.1,41.20958975057963
MNL,Car,1.25,37.0339968099358
MNL,Car,1.5,30.822710424401933
NL,Walk,1.0,18.11337506749672
NL,Walk,1.1,18.387848301223944
NL,Walk,1.25,18.79485345513114
NL,Walk,1.5,19.45741262257458
NL,Cycle,1.0,2.8654861175902004
NL,Cycle,1.1,3.063865190529179
NL,Cycle,1.25,3.3736060620711585
NL,Cycle,1.5,3.90691697261525
NL,PT,1.0,34.861287712846476
NL,PT,1.1,36.504656729830856
NL,PT,1.25,38.87536485857506
NL,PT,1.5,42.50061275211852
NL,Car,1.0,44.1598511020666
NL,Car,1.1,42.04362977841602
NL,Car,1.25,38.95617562422264
NL,Car,1.5,34.13505765269164
