Mode,Actual Share,MNL Share,MNL Diff,NL Share,NL Diff,ML Share,ML Diff
Train,0.144,0.144,-0.000,0.219,+0.075,0.144±0.000,-0.000
Car,0.512,0.512,-0.000,0.405,-0.106,0.512±0.000,-0.000
Bus,0.004,0.004,-0.000,0.031,+0.027,0.004±0.000,+0.000
Air,0.340,0.340,+0.000,0.344,+0.003,0.341±0.000,+0.000
