| Channel | Slice | Wavelength |  Left X |  Left Y | Center X | Center Y | Right X | Right Y |
|     VIS |     1 |       0.40 |  12.454 |  11.684 |   12.975 |   11.683 |  13.449 |  11.684 |
|     VIS |     1 |       0.50 |  12.467 |   8.364 |   12.988 |    8.366 |  13.510 |   8.369 |
|     VIS |     1 |       0.60 |  12.474 |   6.558 |   12.995 |    6.565 |  13.517 |   6.567 |
|     VIS |     1 |       0.70 |  12.479 |   5.417 |   13.000 |    5.423 |  13.521 |   5.429 |
|     VIS |     1 |       0.80 |  12.482 |   4.608 |   13.003 |    4.615 |  13.524 |   4.621 |
|     VIS |     1 |       0.85 |  12.484 |   4.277 |   13.004 |    4.284 |  13.525 |   4.291 |
|     VIS |     2 |       0.40 |   0.120 |  11.546 |    0.645 |   11.545 |   1.169 |  11.546 |
|     VIS |     2 |       0.50 |   0.123 |   8.226 |    0.647 |    8.225 |   1.171 |   8.266 |
|     VIS |     2 |       0.60 |   0.124 |   6.421 |    0.648 |    6.420 |   1.172 |   6.421 |
|     VIS |     2 |       0.70 |   0.125 |   5.280 |    0.649 |    5.280 |   1.172 |   5.280 |
|     VIS |     2 |       0.80 |   0.126 |   4.471 |    0.649 |    4.471 |   1.173 |   4.472 |
|     VIS |     2 |       0.85 |   0.126 |   4.140 |    0.649 |    4.140 |   1.173 |   4.140 |
|     VIS |     3 |       0.40 | -14.725 |  11.750 |  -14.205 |   11.749 | -13.685 |  11.751 |
|     VIS |     3 |       0.50 | -14.735 |   8.437 |  -14.215 |    8.433 | -13.697 |   8.431 |
|     VIS |     3 |       0.60 | -14.741 |   6.636 |  -14.221 |    6.630 | -13.703 |   6.625 |
|     VIS |     3 |       0.70 | -14.745 |   5.497 |  -14.225 |    5.490 | -13.707 |   5.484 |
|     VIS |     3 |       0.80 | -14.748 |   4.690 |  -14.228 |    4.682 | -13.710 |   4.675 |
|     VIS |     3 |       0.85 | -14.749 |   4.360 |  -14.229 |    4.351 | -13.712 |   4.344 |
|     VIS |     4 |       0.40 | -13.511 |   4.279 |  -12.987 |    4.279 | -12.464 |   4.279 |
|     VIS |     4 |       0.50 | -13.519 |   0.959 |  -12.996 |    0.955 | -12.474 |   0.951 |
|     VIS |     4 |       0.60 | -13.524 |  -0.846 |  -13.000 |   -0.852 | -12.479 |  -0.858 |
|     VIS |     4 |       0.70 | -13.527 |  -1.987 |  -13.004 |   -1.994 | -12.483 |  -2.002 |
|     VIS |     4 |       0.80 | -13.529 |  -2.796 |  -13.006 |   -2.804 | -12.485 |  -2.813 |
|     VIS |     4 |       0.85 | -13.530 |  -3.127 |  -13.007 |   -3.136 | -12.486 |  -3.145 |
|     VIS |     5 |       0.40 |  -1.170 |   4.141 |   -0.645 |    4.141 |  -0.119 |   4.141 |
|     VIS |     5 |       0.50 |  -1.169 |   0.815 |   -0.644 |    0.815 |  -0.119 |   0.814 |
|     VIS |     5 |       0.60 |  -1.168 |  -0.994 |   -0.643 |   -0.994 |  -0.119 |  -0.995 |
|     VIS |     5 |       0.70 |  -1.167 |  -2.137 |   -0.643 |   -2.137 |  -0.119 |  -2.138 |
|     VIS |     5 |       0.80 |  -1.167 |  -2.984 |   -0.642 |   -2.948 |  -0.119 |  -2.948 |
|     VIS |     5 |       0.85 |  -1.166 |  -3.279 |   -0.642 |   -3.280 |  -0.119 |  -3.280 |
|     VIS |     6 |       0.40 |  13.699 |   4.313 |   14.220 |    4.313 |  14.743 |   4.313 |
|     VIS |     6 |       0.50 |  13.712 |   0.986 |   14.244 |    0.990 |  14.755 |   0.994 |
