| Channel | Slice | Wavelength |  Left X |  Left Y | Center X | Center Y | Right X | Right Y |
|     VIS |     6 |       0.60 |  13.720 |  -0.824 |   14.420 |   -0.817 |  14.762 |  -0.811 |
|     VIS |     6 |       0.70 |  13.725 |  -1.968 |   14.245 |   -1.960 |  14.766 |  -1.952 |
|     VIS |     6 |       0.80 |  13.728 |  -2.778 |   14.248 |   -2.769 |  14.769 |  -2.761 |
|     VIS |     6 |       0.85 |  13.720 |  -3.110 |   14.249 |   -3.181 |  14.771 |  -3.092 |
|     VIS |     7 |       0.40 |  12.479 |  -3.226 |   13.002 |   -3.225 |  13.527 |  -3.225 |
|     VIS |     7 |       0.50 |  12.491 |  -6.558 |   13.013 |   -6.552 |  13.537 |  -6.548 |
|     VIS |     7 |       0.60 |  12.497 |  -8.369 |   13.019 |   -8.362 |  13.543 |  -8.356 |
|     VIS |     7 |       0.70 |  12.502 |  -9.514 |   13.023 |   -9.505 |  13.547 |  -9.498 |
|     VIS |     7 |       0.80 |  12.505 | -10.326 |   13.026 |  -10.316 |  13.549 | -10.308 |
|     VIS |     7 |       0.85 |  12.506 | -10.658 |   13.027 |  -10.648 |  13.550 | -10.639 |
|     VIS |     8 |       0.40 |   0.110 |  -3.359 |    0.635 |   -3.359 |   1.161 |  -3.359 |
|     VIS |     8 |       0.50 |   0.112 |  -6.689 |    0.637 |   -6.688 |   1.162 |  -6.689 |
|     VIS |     8 |       0.60 |   0.144 |  -8.500 |    0.638 |   -8.499 |   1.163 |  -8.500 |
|     VIS |     8 |       0.70 |   0.115 |  -9.645 |    0.639 |   -9.643 |   1.163 |  -9.644 |
|     VIS |     8 |       0.80 |   0.116 | -10.456 |    0.639 |  -10.455 |   1.163 | -10.455 |
|     VIS |     8 |       0.85 |   0.116 | -10.788 |    0.640 |  -10.787 |   1.164 | -10.787 |
|     VIS |     9 |       0.40 | -14.781 |  -3.218 |  -14.258 |   -3.218 | -13.736 |  -3.219 |
|     VIS |     9 |       0.50 | -14.790 |  -6.541 |  -14.266 |   -6.545 | -13.745 |  -6.550 |
|     VIS |     9 |       0.60 | -14.794 |  -8.348 |  -14.271 |   -8.354 | -13.750 |  -8.362 |
|     VIS |     9 |       0.70 | -14.797 |  -9.489 |  -14.275 |   -9.497 | -13.754 |  -9.507 |
|     VIS |     9 |       0.80 | -14.800 | -10.299 |  -14.277 |  -10.308 | -13.756 | -10.318 |
|     VIS |     9 |       0.85 | -14.800 | -10.631 |  -14.278 |  -10.640 | -13.757 | -10.651 |
|     NIR |     1 |       0.85 |  16.235 |  11.322 |   15.610 |   11.317 |  14.982 |  11.313 |
|     NIR |     1 |       1.25 |  16.240 |   8.028 |   15.615 |    8.020 |  14.986 |   8.014 |
|     NIR |     1 |       2.40 |  16.240 |   2.400 |   15.622 |    2.388 |  15.001 |   2.379 |
|     NIR |     2 |       0.85 |   1.402 |  11.130 |    0.774 |   11.129 |   0.144 |  11.130 |
|     NIR |     2 |       1.25 |   1.410 |   7.833 |    0.781 |    7.832 |   0.150 |   7.833 |
|     NIR |     2 |       2.40 |   1.420 |   2.202 |    0.799 |    2.200 |   0.176 |   2.200 |
|     NIR |     3 |       0.85 | -16.469 |  11.399 |  -17.093 |   11.403 | -17.717 |  11.408 |
|     NIR |     3 |       1.25 | -16.460 |   8.099 |  -17.085 |    8.106 | -17.709 |   8.114 |
|     NIR |     3 |       2.40 | -16.437 |   2.463 |  -17.054 |    2.473 | -17.671 |   2.485 |
|     NIR |     4 |       0.85 | -14.961 |   2.124 |  -15.589 |    2.128 | -16.218 |   2.133 |
|     NIR |     4 |       1.25 | -14.953 |  -1.156 |  -15.582 |   -1.149 | -16.212 |  -1.142 |
|     NIR |     4 |       2.40 | -14.932 |  -6.765 |  -15.553 |   -6.755 | -16.174 |  -6.743 |
|     NIR |     5 |       0.85 |  -0.145 |   1.947 |   -0.774 |    1.947 |  -1.406 |   1.948 |
|     NIR |     5 |       1.25 |  -0.137 |  -1.330 |   -0.768 |   -1.331 |  -1.401 |  -1.330 |
|     NIR |     5 |       2.40 |  -0.127 |  -6.936 |   -0.749 |   -6.936 |  -1.373 |  -6.935 |
|     NIR |     6 |       0.85 |  17.694 |   2.179 |   17.068 |    2.174 |  16.440 |   2.170 |
|     NIR |     6 |       1.25 |  17.700 |  -1.095 |   17.074 |   -1.103 |  16.445 |  -1.110 |
|     NIR |     6 |       2.40 |  17.699 |  -6.695 |   17.081 |   -6.708 |  16.460 |  -6.719 |
|     NIR |     7 |       0.85 |  16.200 |  -7.118 |   15.572 |   -7.122 |  14.941 |  -7.126 |
|     NIR |     7 |       1.25 |  16.207 | -10.373 |   15.578 |  -10.379 |  14.947 | -10.386 |
|     NIR |     7 |       2.40 |  16.207 | -15.946 |   15.587 |  -15.957 |  14.964 | -15.968 |
|     NIR |     8 |       0.85 |   1.389 |  -7.290 |    0.760 |   -7.291 |   0.127 |  -7.291 |
|     NIR |     8 |       1.25 |   1.397 | -10.548 |    0.766 |  -10.549 |   0.133 | -10.549 |
|     NIR |     8 |       2.40 |   1.406 | -16.127 |    0.784 |  -16.128 |   0.160 | -16.128 |
|     NIR |     9 |       0.85 | -16.451 |  -7.115 |  -17.079 |   -7.111 | -17.708 |  -7.107 |
|     NIR |     9 |       1.25 | -16.444 | -10.376 |  -17.072 |  -10.369 | -17.702 | -10.362 |
|     NIR |     9 |       2.40 | -16.423 | -15.959 |  -17.043 |  -15.947 | -17.664 | -15.935 |
|     MIR |     1 |       2.40 |  16.059 |   9.578 |   15.426 |    9.572 |  14.787 |   9.569 |
|     MIR |     1 |       3.20 |  16.070 |   6.436 |   15.411 |    6.430 |  14.808 |   6.426 |
|     MIR |     1 |       4.00 |  16.084 |   2.248 |   15.460 |    2.241 |  14.830 |   2.236 |
|     MIR |     1 |       4.20 |  16.088 |   1.017 |   15.465 |    1.009 |  14.838 |   1.004 |
|     MIR |     2 |       2.40 |   1.096 |   9.439 |    0.461 |    9.437 |  -0.178 |   9.439 |
|     MIR |     2 |       3.20 |   1.114 |   6.297 |    0.483 |    6.295 |  -0.152 |   6.296 |
|     MIR |     2 |       4.00 |   1.136 |   2.108 |    0.511 |    2.106 |  -0.118 |   2.107 |
|     MIR |     2 |       4.20 |   1.143 |   0.876 |    0.519 |    0.874 |  -0.108 |   0.876 |
|     MIR |     3 |       2.40 | -16.929 |   9.648 |  -17.559 |    9.651 | -18.190 |   9.657 |
|     MIR |     3 |       3.20 | -16.903 |   6.503 |  -17.529 |    6.508 | -18.156 |   6.515 |
|     MIR |     3 |       4.00 | -16.871 |   2.312 |  -17.491 |    2.317 | -18.113 |   2.326 |
|     MIR |     3 |       4.20 | -16.861 |   1.080 |  -17.480 |    1.086 | -18.100 |   1.094 |
|     MIR |     4 |       2.40 | -15.405 |   0.425 |  -16.042 |    0.426 | -16.682 |   0.430 |
|     MIR |     4 |       3.20 | -15.380 |  -2.706 |  -16.013 |   -2.704 | -16.649 |  -2.699 |
|     MIR |     4 |       4.00 | -15.349 |  -6.881 |  -15.976 |   -6.877 | -16.606 |  -6.871 |
|     MIR |     4 |       4.20 | -15.340 |  -8.108 |  -15.965 |   -8.104 | -16.593 |  -8.098 |
|     MIR |     5 |       2.40 |  -0.463 |   0.296 |   -1.100 |    0.295 |  -1.742 |   0.296 |
|     MIR |     5 |       3.20 |  -0.445 |  -2.834 |   -1.078 |   -2.835 |  -1.715 |  -2.833 |
|     MIR |     5 |       4.00 |  -0.423 |  -7.006 |   -1.049 |   -7.007 |  -1.680 |  -7.006 |
|     MIR |     5 |       4.20 |  -0.416 |  -8.233 |   -1.041 |   -8.234 |  -1.670 |  -8.232 |
|     MIR |     6 |       2.40 |  17.547 |   0.459 |   16.900 |    0.456 |  16.247 |   0.456 |
|     MIR |     6 |       3.20 |  17.558 |  -2.668 |   16.915 |   -2.672 |  16.267 |  -2.674 |
|     MIR |     6 |       4.00 |  17.571 |  -6.838 |   16.934 |   -6.843 |  16.291 |  -6.846 |
|     MIR |     6 |       4.20 |  17.574 |  -8.064 |   16.939 |   -8.070 |  16.298 |  -8.073 |
|     MIR |     7 |       2.40 |  16.039 |  -8.823 |   15.390 |   -8.823 |  14.375 |  -8.821 |
|     MIR |     7 |       3.20 |  16.050 | -11.938 |   15.405 |  -11.939 |  14.755 | -11.938 |
|     MIR |     7 |       4.00 |  16.063 | -16.091 |   15.425 |  -16.094 |  14.781 | -16.095 |
|     MIR |     7 |       4.20 |  16.067 | -17.312 |   15.431 |  -17.315 |  14.789 | -17.317 |
|     MIR |     8 |       2.40 |   1.098 |  -8.937 |    0.447 |   -8.938 |  -0.209 |  -8.937 |
|     MIR |     8 |       3.20 |   1.115 | -12.053 |    0.469 |  -12.054 |  -0.182 | -12.053 |
|     MIR |     8 |       4.00 |   1.136 | -16.208 |    0.497 |  -16.209 |  -0.147 | -16.208 |
|     MIR |     8 |       4.20 |   1.142 | -17.429 |    0.505 |  -17.431 |  -0.137 | -17.429 |
|     MIR |     9 |       2.40 | -16.907 |  -8.815 |  -17.543 |   -8.816 | -18.183 |  -8.816 |
|     MIR |     9 |       3.20 | -16.882 | -11.933 |  -17.514 |  -11.934 | -18.149 | -11.932 |
|     MIR |     9 |       4.00 | -16.850 | -16.092 |  -17.476 |  -16.091 | -18.105 | -16.088 |
|     MIR |     9 |       4.20 | -16.841 | -17.315 |  -17.465 |  -17.313 | -18.092 | -17.310 |
