type,name,site,position,direction,size,twist,superhelical
EXT,EXT_L,EXT,-2815.0,0,0.0,-55.714951298194194,-0.015780805759988827
origin,ori,ori,3085.0,0,100.0,-55.714951298194194,-0.015780805759988827
EXT,EXT_R,EXT,9085.0,0,0.0,0.0,-0.06
