Molecule,"Electronic state","Reduced mass","Te (cm^{-1})","omega_e (cm^{-1})","omega_ex_e (cm^{-1})","Be (cm^{-1})","alpha_e (cm^{-1})","De (10^{-7}cm^{-1})","Re (\AA)","D0 (eV)","IP (eV)",Reference,"Date of reference"
AgAl,"X $^1\Sigma^+$",21.5440781,0,254.34,1.13,0.12796,0.00076,1.27,2.4728,1.95,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1974"
AgAl,"B $^1\Sigma^+$",21.5440781,27459.17,199.85,1.66,0.11706,0.00112,1.6,2.5854,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1974"
AgAl,"C $^1\Pi$",21.5440781,31744.8,221.06,,0.1225,,1.6,2.525,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1974"
AgBi,"X $0^+$",71.5949106,0,152.14,0.405,0.0198,0.00004,0.0135,3.45,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","FEB 1975"
AgBi,"X' $1$",71.5949106,4185,148.5,0.5,0.0199,0.00005,0.0143,3.44,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","FEB 1975"
AgBi,"A $0^+$",71.5949106,16364,144,0.53,0.02,0.00006,0.0153,3.43,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","FEB 1975"
AgBi,"B $0^+$",71.5949106,20753,145.29,0.335,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","FEB 1975"
AgBr,"X $^1\Sigma^+$",46.4235609,0,247.72,0.679,0.06341,0.00023,0.17,2.3931,3.1,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1974"
AgBr,"B $0^+$",46.4235609,31280.43,180.8,4.45,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1974"
AgBr,C,46.4235609,43537.4,205,0.74,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1974"
