type,name,site_type,concentration,size,effective_size,binding_model,binding_oparams,effect_model,effect_oparams,unbinding_model,unbinding_oparams
topo,gyrase,DNA,44.6,160,140,none,none,none,none,none,none
topo,topoI,DNA,17.0,60,40,none,none,none,none,none,none
